{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '酒店设施很一般，连中央空调都没有，给我的感觉不值这个价。不过离酒店两三百米左右有一个土菜馆，味道很好。', '短评打分': 3}
{'短评内容': '酒店还算满意，网路挺快的，停车场很大，床铺一般般，服务态度挺好，由于楼下是培训中心，电梯很难等，楼下的螺蛳粉好吃！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错，性价比高', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一次买多件，慢慢试，慢慢吃', '短评打分': 5}
{'短评内容': '和此卖家交流，不由得精神为之一振，自觉七经八脉为之一畅，我网购了这么多年，所谓阅商无数，但与卖家您交流，我只想说，老板你实在是太好了，你的高尚情操太让人感动 了，本人对此卖家之仰慕如滔滔江水连绵不绝，海枯石烂，天崩地裂，永不变心。交易成功 后，我的心情是久久不能平静，自古英雄出少年，卖家年纪轻轻，就有经天纬地之才，定国 安邦之智，而今，天佑我大中华，沧海桑田 5000 年，神州平地一声雷，飞沙走石，大雾迷 天，朦胧中，只见顶天立地一金甲天神立于天地间，花见花开，人见人爱，这位英雄手持双 斧，二目如电，一斧下去，混沌初开，二斧下去，女娲造人，三斧下去，小生倾倒。得此大 英雄，实乃国之幸也，民之福，人之初也，怎不叫人喜极而泣&hellip;&hellip;看着交易成功，我竟产生 出一种无以名之的悲痛感&mdash;&mdash;啊， 这么好的卖家， 如果将来我再也遇不到了， 那我该怎么办？ 直到我毫不犹豫地把卖家的店收藏了， 我内心的那种激动才逐渐平静下来， 可是我立刻想到， 这么好的卖家，倘若别人看不到，那么不是浪费心血吗？经过痛苦的思想斗争，我终于下定 决心，牺牲小我，奉献大我。我要以此评价奉献给世人赏阅，我要给好评&hellip;&hellip;评到所有人都 看到为止！', '短评打分': 4}
{'短评内容': '今天上厕所把厕所堵了…… 还好工作人员及时处理了。一直很满意，没什么说的了。凑字得积分……够字数了！', '短评打分': 5}
{'短评内容': '酒店还可以，只是很多教育机构也在这栋楼里，乘坐电梯上楼的时候很多小朋友一起挤电梯', '短评打分': 4}
{'短评内容': '这是连住了4天。不挨个点评了', '短评打分': 5}
{'短评内容': '啊我的人家这是我最大限度地减少到最低。我们的生活方式，嗯好的生活中有很多的不知道你会选择题答案弄成这', '短评打分': 4}
{'短评内容': '同上……同上…… 不过字多了，给的积分才多……得凑字啊……话说积分没什么大用处…… 。。。。。啊啊啊啊', '短评打分': 5}
{'短评内容': '比较新，商务双床房型比较大。', '短评打分': 4}
{'短评内容': '不错 ！', '短评打分': 5}
{'短评内容': '还需要继续努力加油哦', '短评打分': 4}
{'短评内容': '酒店位置没的说，确实方便，酒店风格不错，性价比好，酒店服务也很到位，房间内很干净，住的很舒服，酒店的风格很特别，质朴奢华，闹市静心。', '短评打分': 5}
{'短评内容': '干净，宽敞，不错的选择。', '短评打分': 5}
