{'短评内容': '整洁', '短评打分': 5}
{'短评内容': '地段是没话说，方便，这个价钱我也算接受吧，毕竟是首都最繁华的地方，房间真的一般般，WiFi 是没法上去的，早餐25元一个人，这算还行', '短评打分': 4}
{'短评内容': '代国际友人订的酒店，朋友反馈比之前的某准四星酒店强多了。以后还来。', '短评打分': 5}
{'短评内容': '不错的环境，很方便交通', '短评打分': 5}
{'短评内容': '离王府井比较近，方便出行', '短评打分': 4}
{'短评内容': '早餐不错，位置非常好，出门100多米，王府井步行街', '短评打分': 5}
{'短评内容': '位置很好，周围很多商场，吃饭也很方便。', '短评打分': 5}
{'短评内容': '奖金', '短评打分': 5}
{'短评内容': '非常舒服，房间挺干净，离王府井挺近的', '短评打分': 5}
{'短评内容': '送货速度快质量有保障', '短评打分': 5}
{'短评内容': '网上订的酒店优惠又方便，锦江之星的服务好干净Y卫生，京东的服务全面又定了戏票这一趟北京之旅开心。', '短评打分': 5}
{'短评内容': '很干净，就是小贵。被子有点潮，其他都好', '短评打分': 5}
{'短评内容': '刚好六个字呦', '短评打分': 5}
{'短评内容': 'This is good budget hotel which is clean and comfortable bed. We booked 2 rooms because we came with 3 children. The twin bed is not same size. One is single, and the other is double bed. This mean, m', '短评打分': 5}
{'短评内容': '交通便利，遛街方便，挺卫生', '短评打分': 4}
{'短评内容': '不错，环境好服务好', '短评打分': 5}
{'短评内容': '卫生好，服务态度好，在王府井附近，出行非常方便。', '短评打分': 5}
{'短评内容': '离王府井很近，但是房间隔音一般', '短评打分': 4}
{'短评内容': '不错，经济实惠', '短评打分': 5}
{'短评内容': '酒店服务非常不错！', '短评打分': 4}
{'短评内容': '和家里人一起过去北京玩，因为在王府井去那里都方便，周边玩和吃东西都很方便，所以你如果去旅游是一个不错的选择。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '卫生比较干净，早餐也很丰富；就是烤街的有点吵。其余还比较满意！', '短评打分': 5}
{'短评内容': '非常好，服务，环境，地理位置', '短评打分': 5}
{'短评内容': '离王府井步行街很近，方便，价格还可以', '短评打分': 4}
{'短评内容': '靠近北京主要景点。吃饭、坐车、旅游都方便。', '短评打分': 4}
{'短评内容': '价钱不便宜，没有直接打电话预定便宜，酒店大家都知道，还可以，房间紧张，要提前预订！', '短评打分': 3}
{'短评内容': '不错  比直接去还便宜10元  地理位置好 环境好 就好像是刚装完修！\r\n要有特服就更好了', '短评打分': 5}
