{'短评内容': '可以', '短评打分': 5}
{'短评内容': '没有一次性拖鞋，只有塑料拖鞋，三个房间竟然有两个房间浴帘都没有挂，周边环境脏乱差，靠边房间噪声影响休息，总之不值这个价钱，也就是一百块连锁酒店的样子。', '短评打分': 3}
{'短评内容': '应该还是可以的', '短评打分': 3}
{'短评内容': '没窗', '短评打分': 1}
{'短评内容': '视野开阔，落地窗。', '短评打分': 5}
{'短评内容': '房间比想象中的小了点，环境卫生还是蛮整洁的，酒店早餐不错', '短评打分': 5}
{'短评内容': '烟味太浓，马桶是坏的', '短评打分': 4}
{'短评内容': '酒店服务一般，正在装修，我住的821房玻璃破了用木板挡差，比较偏，出租车过去时我以为司机把我带到无人外准备打劫我呢！早餐更是非常一般。', '短评打分': 2}
{'短评内容': '一般吧，不过靠近机场，挺方便的', '短评打分': 4}
{'短评内容': '酒店环境太差了，', '短评打分': 2}
{'短评内容': ' 代人预定，不知道怎么样，给好评吧', '短评打分': 5}
{'短评内容': '房间不错  空间大  设施全', '短评打分': 4}
{'短评内容': '还行吧！给个好评。', '短评打分': 4}
{'短评内容': '酒店位置看似離機場很近，但卻是得繞個大彎才能到，位處工業園區內有點偏，幸好附近吃的地方多很方便，就是打車很不方便，再往上訂房搜尋有接送服務，但到了廈門機場打電話卻回答說特價房沒有接送，若要接送需要另外付費，而網上並未註明，有種吃悶虧的感覺，很不好。', '短评打分': 3}
{'短评内容': '很偏僻，在工业区', '短评打分': 4}
{'短评内容': '  BAD HOTEL WITHOUT DRINK WATET AND ROOM AIR CONDITION VERY HOT I WILL NEVER STAY THIS HOTEL AGAIN', '短评打分': 3}
{'短评内容': '比较旧，态度不好。。', '短评打分': 3}
{'短评内容': '我相信不会有人推荐前台像木头，房间地板上赠送假睫毛，吃早餐的时候还有小强跳舞助兴的酒店的。。。。', '短评打分': 1}
{'短评内容': '离机场较近方便', '短评打分': 3}
{'短评内容': '客人反应服务太差了，花300元住那酒店实在是不值得，差。。。。。。。。', '短评打分': 1}
{'短评内容': '距离机场比较近，服务态度比较好，针对我的出行提供了很大的方便。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '房间宽敞，但前几天这边生意不是很好。没有WIFI，前台是说这几天在修理。早餐很差。整体感觉一般般。', '短评打分': 1}
{'短评内容': '很糟糕', '短评打分': 3}
{'短评内容': '大堂和房間有異味,性價比不高', '短评打分': 3}
{'短评内容': '位置偏，找个吃饭的地方都不行！周围环境差！', '短评打分': 1}
{'短评内容': '不错的酒店，离机场真的很近，就是有点偏。不过好像空姐也住这里哦！！！', '短评打分': 5}
{'短评内容': '没窗的房间有味道', '短评打分': 5}
{'短评内容': '服务员态度很好，处理事情很快，办事蛮有效率的，房间硬件设施齐全，卫生搞得很好，住宿环境一般', '短评打分': 5}
{'短评内容': ' 位置很偏．', '短评打分': 5}
{'短评内容': '酒店服务员态度蛮好的，很热情周到，性价比还比较高，设施齐全，卫生不错，住宿环境一般', '短评打分': 5}
{'短评内容': '酒店的价格比较经济实惠，设施很齐全，酒店离机场比较近，很方便，服务还是不错的', '短评打分': 5}
{'短评内容': '房间硬件设施一般，服务态度很好！', '短评打分': 5}
{'短评内容': '设施相对来说一般，但是价位比较低，收拾的也算干净。', '短评打分': 5}
{'短评内容': '内部环境不好，位置很难找，房间设施也很简陋价格和酒店完全不符合的，态度也一般。', '短评打分': 1}
{'短评内容': '内部环境不好，位置很难找，房间设施也很简陋价格和酒店完全不符合的，态度也一般。', '短评打分': 1}
{'短评内容': '不是很干净，另外设施比较陈旧.其实各方面条件一般不过房间住起来还可以.', '短评打分': 1}
{'短评内容': '服务人员态度很好，离机场很近。', '短评打分': 5}
{'短评内容': '距机场非常近,但打的要到对面去,否则就要被绕弯路了,附近没有大的购物中心,环境一般,设施还可,早餐也可.', '短评打分': 5}
{'短评内容': '由于酒店的价格比较低，所以硬件设施相对一般，但是他离机场近，很方便，可是靠路边的房间又比较吵，希望可以改善一下，最后酒店的服务还是不错的。', '短评打分': 5}
{'短评内容': '出租车司机带过去的，地方比较偏，不过服务态度还可以，只住了几个小时，没感觉到太多', '短评打分': 5}
{'短评内容': '地理环境比较偏僻，卫生不是很好，卫生间的防滑垫发霉，但是服务人员的态度还不错', '短评打分': 1}
{'短评内容': '感覺這裡一點也不像酒店, 酒店位置偏僻, 很難找到。從來沒有試過這樣的早餐, 7:55去已經沒甚麼可以吃的了, 勉強吃了一碗白粥和一個煮雞蛋, 連咖啡或牛奶或果汁也沒有。以後再也不去了!', '短评打分': 3}
