{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '很好满意的', '短评打分': 5}
{'短评内容': '环境有点旧，是原来的7天酒店，交通便利，去哪里都很快！', '短评打分': 5}
{'短评内容': '出行很方便', '短评打分': 5}
{'短评内容': '位置挺好，容易找', '短评打分': 4}
{'短评内容': '位置真的很方便，但房间便小，隔音很差，晚上有小朋友在走廊跑步，听得很清楚,快捷酒店要求不能太高。。。', '短评打分': 4}
{'短评内容': '不错 挺好 住了2次', '短评打分': 5}
{'短评内容': '位置非常好，附近就有好几个景点可以步行到达，附件卖水果的很多，多看几家再买，最近的餐饮就是银记肠粉，自己地图导航吧，非常好吃，可以美团！', '短评打分': 4}
{'短评内容': '主要是位置好！', '短评打分': 5}
{'短评内容': '可以呀', '短评打分': 5}
{'短评内容': '还好，中规中矩。', '短评打分': 4}
{'短评内容': '方便出行。之前入住还是挺不错的感觉。这次去，觉得设施有坏的，保险柜坏了，干脆直接拿走嘛。排气扇好响，几乎一晚上没睡。因为是去办事，只住了一晚，也勉为其难的算了。希望下次去，能搞好。', '短评打分': 3}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '周边环境还是挺好的，交通便利是一大优势。只是酒店隔音效果不太好，比较吵，浅眠的人就不适合了。只是住一晚勉勉强强～主要是来看朋友的，没有太多讲究。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '交通便利，挺不错', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '有点旧，性价不高', '短评打分': 4}
{'短评内容': '交通比较方便', '短评打分': 5}
{'短评内容': '主要是交通方便', '短评打分': 5}
{'短评内容': '快捷酒店设施是比不上星级酒店了，进去感觉小、闷，房间隔音效果也不好，邻居吵闹声使我难以入睡。还有，厕所有积水，可能是哪个管子封闭不严吧。', '短评打分': 3}
{'短评内容': '住了一周，竟然还有办公楼晚上装修吵死了。', '短评打分': 4}
