{'短评内容': '可以', '短评打分': 5}
{'短评内容': '这次服务态度不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务挺好的', '短评打分': 5}
{'短评内容': '地方不是太好找，房间有些陈旧，卫生还不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境安静，住着舒服。环境安静，住着舒服。环境安静，住着舒服。环境安静，住着舒服。环境安静，住着舒服。', '短评打分': 5}
{'短评内容': '服务很好，设施也比较新，卫生也很好', '短评打分': 5}
{'短评内容': '服务很好，位置很好，周边吃饭交通很方便，设施也不错，', '短评打分': 5}
{'短评内容': '第一次住各方面都很好我很满意，如果有早餐就更好了，都是一点建议望采纳，如果不采纳我也没办法了啊是吧你说', '短评打分': 5}
{'短评内容': '酒店服务，尤其是前台十分热情、到位，性价比较强，订房程序简单、安全，经济型酒店的典型代表。房间舒适度较好。很令人满意。', '短评打分': 4}
{'短评内容': '感觉是很不错的一家，位置很好找，就在历下大厦斜对面。前台很热情，房间卫生做的比较干净，电视能收到的节目也还算比较多，热水很冲。出门交通很方便，周边大小饭馆也有不少，对面就是统一银座便利店，日常用品都有。价格不贵，对于出差来说，性价比很高，值得推荐。', '短评打分': 4}
{'短评内容': '房间不错 还给免费升级', '短评打分': 5}
{'短评内容': '很满意，服务很人性化。喜欢', '短评打分': 5}
{'短评内容': '挺好的 房间干净整洁 冬天暖气也挺好 很暖和', '短评打分': 5}
{'短评内容': '唯独遗憾的是没有早餐，不过周边挺好，很多吃饭的地方，而且有一个超市，可以买东西', '短评打分': 4}
{'短评内容': '还好吧，一般！ 没有早餐', '短评打分': 4}
{'短评内容': '服务态度很好，很干净，位置还可以', '短评打分': 5}
{'短评内容': '舒适，挺好的，。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 不错，下次还来！', '短评打分': 3}
{'短评内容': '环境不错！附近吃饭很方便，呼呼，可惜我住的靠马路房间有些吵，半夜吵醒了 起来关上两层玻璃的窗户！', '短评打分': 3}
{'短评内容': '房间有点小，不过其他方面还算可以，而且里头的设施也很全的，吹风机也有', '短评打分': 5}
{'短评内容': '服务很棒，环境也不错，周围有超市，小店也不少，住了两天，真的像家一样，赞！', '短评打分': 3}
{'短评内容': '方便 快捷 酒店对面有金德利快餐，东面是火锅，西面有金利来', '短评打分': 5}
{'短评内容': '酒店周边环境不错，就餐购物都挺方便。我住的是数码商务房，比较宽敞，但隔音效果稍差。总体不错，下次还会去的。', '短评打分': 5}
{'短评内容': '环境不错。睡得挺舒服服务也挺好位置也好  靠近超市方便\n\n', '短评打分': 5}
{'短评内容': '干净卫生，服务也好，就是借用的吹风机不够使', '短评打分': 5}
{'短评内容': ' 酒店不错，简洁方便。', '短评打分': 3}
{'短评内容': '很不隔音，隔壁的的声音太清楚了，难以忍受啊。', '短评打分': 1}
{'短评内容': '房间虽然不大但是很温馨，服务态度也超好哦，出行也很方便，旁边的火锅很不错嘻嘻，总之很棒~~', '短评打分': 5}
{'短评内容': '酒店还不错 就是比较小了一点 有网线 很符合如家风格 位置还行 如果价格再低点更好', '短评打分': 5}
{'短评内容': '服务态度好，环境也不错', '短评打分': 3}
{'短评内容': '还不错了。进出方便，出行不堵车。房间干净，服务人员不热情。', '短评打分': 5}
{'短评内容': '性价比不错，就是房间有点小。', '短评打分': 3}
{'短评内容': '我定的大床房，空间太小太拥挤了，房间的电话不知道怎么打手机，加零也不可以，不过床挺舒适的', '短评打分': 5}
{'短评内容': '这家店处在交通便利地段， 所以愿意住在这里。但是房间的玻璃隔音效果太差了，路边的汽车鸣笛声不绝于耳，早上肯定睡不好的。这一点非常的不爽。另外一点，商务大床房里的电视机怎么都是那么小的，只是放在角落里的一个电脑液晶显示屏而已，但不配套了。', '短评打分': 5}
{'短评内容': '酒店位置优越，服务周到。', '短评打分': 3}
{'短评内容': '酒店服务不错，尤其是总台服务热情；客房卫生也不错；酒店周边环境不错，尤其是附近饭店比较多，就餐方便。', '短评打分': 5}
{'短评内容': '酒店总体还不错，前台服务很热情，我住的是商务大床房，比较宽敞，但隔音效果稍差。', '短评打分': 5}
{'短评内容': '酒店的设施比较新，房间比较宽敞，我住的商务大床房，床也比较大。但电视一般，不是液晶的。前台接待的人也不错，尤其是那个带眼镜的经理（好象姓魏），由于坐火车的时间比较晚，让我晚退房一个小时，没有多收房费。\n', '短评打分': 5}
{'短评内容': '酒店不错，很干净，就是隔音有点差，其他还可以，挺温馨的。比较满意', '短评打分': 5}
{'短评内容': '室内干净整洁，摆设很温馨，就是没有停车场，记得介绍的时候说是免费停车，有停车场的~', '短评打分': 5}
{'短评内容': '不错 干净，在此地段也算便宜的了 ！！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境不错，交通便利，整体的卫生水平不错。住起来比较舒适，另外如家的牌子也是过硬的，其他没有什么大的问题。面积够大，不过还好，够用。整体来说给以好评。 \n', '短评打分': 5}
{'短评内容': '如家品质一如既往，房间挺大的，干净整洁，周边交通方便，离公交站很近；而且周围吃饭的地方很多，银行和超市遍布周围', '短评打分': 5}
{'短评内容': '还不错 很温馨 也挺干净舒适的  保洁人员每天很认真的打扫 交通也还行 比较方便 总体来说不错', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店还是不错的，位置好。墙体隔音较好，窗隔音也凑合，有大货车经过时噪音较大。但是门不隔音，走廊上的声音很清楚，半夜一、二点钟都会被惊醒。建议备耳塞。', '短评打分': 5}
{'短评内容': '干净,整洁,服务态度好.但是,有线电视没了,没看到球赛.', '短评打分': 5}
{'短评内容': '还可以，商务酒店之一吧，没特别的值得推荐的地方，也没有什么特别的意见。', '短评打分': 5}
{'短评内容': '非常舒适的环境 设施很新 环境非常非常的干净 在房间里我都是光着脚丫走的 完全不脏 打扫的非常整洁舒服 卫生间完全是全新的 找不到一丝头发 或者污垢 毛巾浴巾也很干净齐全 还用空调 床很大 很舒服 有3个大枕头 睡觉那叫一个舒服死  前台服务蛮幽默的 唯一不足的就是隔音不是很好 能听到外面的声音  但不会影响正常休息 地理环境很不错的 去大明湖 趵突泉什么的打的10块钱  出门对面就有超市隔壁有火', '短评打分': 5}
{'短评内容': '酒店干净，服务员很热情，网络好用速度也很快，希望如家的洗发水能好点。', '短评打分': 5}
{'短评内容': '不错 床很舒服 环境也不错 网速也可以 设施什么的也挺全的 嗯嗯 值得推荐 大家如果来附近 可以住这家。', '短评打分': 5}
