{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间很不错，可以！', '短评打分': 4}
{'短评内容': '这个价位差不多就这样啦', '短评打分': 3}
{'短评内容': '一锤子买卖。房间里连热水都有。服务员还突然袭击。连房门都不带敲就进来了。真是没谁了', '短评打分': 2}
{'短评内容': '性价比非常之高，住宿非常干净舒适', '短评打分': 5}
{'短评内容': '冲凉设备不太好，床铺还好', '短评打分': 4}
{'短评内容': '就是为了方便爬华山才选择住这里的，也就一般吧', '短评打分': 4}
{'短评内容': '好评，就是房子有点小，其它都好。', '短评打分': 4}
{'短评内容': '大晚上到的华山站，打车去酒店花了大约30块钱，还好到地方虽然快11点了，但是门口就是卖饭的。第二天去华山售票中心，还是要打车10块钱过去，其实不算很近。房间里面很脏，洗手间马桶水槽的盖子都没了。', '短评打分': 2}
{'短评内容': '可以的', '短评打分': 4}
{'短评内容': '入住体验很不错，房间的设施齐全、干净卫生服务很专业，前台办理业务效率高，推荐!', '短评打分': 5}
{'短评内容': '酒店位置很好找，服务、设施都不错，赞一个！', '短评打分': 5}
{'短评内容': '不错 加油！', '短评打分': 5}
{'短评内容': '环境好！服务态度好！很喜欢！就是没有吹风机！还要去前台去借希望可以改善', '短评打分': 5}
{'短评内容': '房间蛮干净的，不小心拉了东西客服很细心的帮忙找，很负责任。酒店地理位置好，最主要的是服务好、价格合适。满意！', '短评打分': 5}
{'短评内容': '前台服务极差，打电话问前台火车站离酒店多远，怎么走，前台说了句：打部的士，就把电话挂了，再打过去再问，前台很不耐烦说打部的士，又挂了，第三次再打，由另一个接的电话，详细告知了距离和车费大概多少，同一家酒店的员工，怎么差距就那么大呢。\n房间很小，床尾离柜子只有四五十公分，房间隔音太差，窗外的车声和走廊的说话声都听得一清二楚，床垫倒是挺舒服，卫生间只有头顶一个喷淋头，没有花洒，不洗头的话很不方便。\n酒', '短评打分': 1}
