{'短评内容': '可以', '短评打分': 5}
{'短评内容': '交通方便，位置挺好，合适带孩子，', '短评打分': 5}
{'短评内容': '第一次住，挺好的，服务也好，', '短评打分': 5}
{'短评内容': '选择了前台现付可以返现，但结果没有看清楚要下单的时候选择入住后立即返结果没有的返了，有点可惜。不过酒店服务还是不错的，特别是早餐样式比较丰富。', '短评打分': 4}
{'短评内容': '第二次住，比较方便，便宜', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很实惠，服务一般，下次有在去', '短评打分': 5}
{'短评内容': '位置很好，条件非常满意，早餐也不错，下次还会选这里', '短评打分': 5}
{'短评内容': '还不错，每次来都住在这里', '短评打分': 5}
{'短评内容': '特价房，很不好', '短评打分': 3}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '好评，', '短评打分': 5}
{'短评内容': '设施不太好，其它还可以', '短评打分': 4}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '每次汕头出差，必须这家店，公交车站方便，离去潮汕高铁站公交始发站也不远，周围当地美食大排档也有很多，还送两餐，', '短评打分': 5}
{'短评内容': '就是房间气味有点不好。。。', '短评打分': 5}
{'短评内容': '经常住', '短评打分': 5}
{'短评内容': '房间挺大的，基本设施ok,早餐没券就不划算', '短评打分': 4}
{'短评内容': '房间设施比较旧，不过位置还好，还能接受！', '短评打分': 4}
{'短评内容': '我', '短评打分': 5}
{'短评内容': '性价比比较高，宽敞，就是窗户没法关闭，声音吵，', '短评打分': 4}
{'短评内容': '配套的东西比较少，环境还能接受', '短评打分': 3}
{'短评内容': ' 总体算满意  就是上网很不爽  老掉线', '短评打分': 3}
{'短评内容': '早餐还行。服务员的工作态度有待提升，要把“让顾客住的舒服”作为工作信条。就是靠路边的房子会有点吵。总体来说，还是不错的', '短评打分': 5}
{'短评内容': '很不好，没有一次性拖鞋，卫生不好，本打算住五天的，住了一晚就退掉了，下次不会入住。', '短评打分': 1}
{'短评内容': '整体一般，无线网速较好！就是设施设备比较老旧，房间在6F，但是还有霉味，房间的插座设置不好，只有一个，还是在地上，充电比较不方便；床单被套洗涤不干净，盖完后身上还会带痒（貌似有跳蚤的感觉）；房间的窗户设置很不安全，窗是可以直接整扇打开的，酒店对房间窗户的安全设置毫无意识，虽然开窗风会比较大会比较舒服，但探头看出去可能会让其他客人很害怕；更可怕是那桶装了自来水的桶装水，上面贴了日期是我入住的当日，但', '短评打分': 1}
{'短评内容': '低价还送两歺，实惠，房间空气不好，花洒不能调高，风扇噪音大且没啥效果，网络电视，卡，基本不能看，毛巾有一条脏', '短评打分': 3}
{'短评内容': '整体感觉很不错，晾衣架是个亮点，下次去汕头会优先选择择这家酒店~', '短评打分': 5}
{'短评内容': '地理位置方便，环境很不错，性价比高，值得一住~~', '短评打分': 5}
{'短评内容': '设施坏了也没更换，打扫不彻底，很失望..........................', '短评打分': 1}
{'短评内容': '继续入住................................', '短评打分': 5}
{'短评内容': '性價比高的酒店,前台員工服務態度好,網速很好,雖然房間有霉氣味及曱甴,但清潔員工清潔處理態度很值得嘉許的,下次會再住此酒店.\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店是新装修的，早餐还可以，酒店外面环境不好，破烂的街道。\n不过整体价位还是可以的，下次出差在那附近，还是可以再住住。', '短评打分': 5}
{'短评内容': '靠马路的客房有些吵，淋浴喷头坏了，总之价格实惠还算满意，希望能做的更好。', '短评打分': 5}
{'短评内容': '住的是不靠马路的一侧，环境还算比较安静。设施也简陋，性价比不高。最不爽的是，空调在床铺的对面墙上，空调的指示灯和温度读数太亮了，影响睡眠。', '短评打分': 5}
{'短评内容': '价格一般，主要有个早、晚餐，但设备有些旧，电话、水龙头都有坏。', '短评打分': 5}
{'短评内容': '早餐还可以，房间挺干净，服务态度还不错，处理事情挺快的。', '短评打分': 5}
{'短评内容': '十还不错', '短评打分': 3}
{'短评内容': '性價比高的酒店,前台員工服務態度好,網速很好,雖然房間有霉氣味及曱甴,但清潔員工清潔處理態度很值得嘉許的,下次會再住此酒店.', '短评打分': 5}
{'短评内容': '酒店挺干净的，整体感觉还不错。。。在汕头算比较便宜的实惠的旅馆了···', '短评打分': 5}
{'短评内容': '还好 比较新 就是晚上有点吵 不过设施比较齐全', '短评打分': 5}
{'短评内容': '交通便利服务态度好，网络和环境佳，是一个不错的落脚地方', '短评打分': 3}
{'短评内容': '住宿的两天中先后续卡机，发票机出了故障，还好发票帮寄过来。性价比不错的酒店。', '短评打分': 3}
{'短评内容': '性价比不错，有会员卡可以更便宜。', '短评打分': 3}
{'短评内容': '除了有电脑以外，一般般吧！性价比不是很高。', '短评打分': 3}
{'短评内容': '很不错的酒店 早餐很好 很不错的酒店 早餐很好  很不错的酒店 早餐很好', '短评打分': 5}
{'短评内容': '很值，哈哈哈哈，送早餐和午餐，环境还不错，位置也好找', '短评打分': 5}
{'短评内容': '还说什么商务酒店，都不知道他们怎么理解的商务概念，上网只能上QQ，其他的网站都上不了，卫生间的马桶盖子都翻不上来，小便的话还要一个手去扶着马桶盖，有点不错的是，送了十五元的早餐券跟一个中午餐券，但对于商务的话一点不合适，收邮件，发邮件，你都只能到他的大堂他们自己的电脑上去用，一点都不方便', '短评打分': 1}
{'短评内容': '房间干净、卫生，前台的服务员态度好\n下次去还想住标间', '短评打分': 5}
{'短评内容': '环境好，而且位置比较不错，很方便出行，室内的设施也很好，整体来讲还是可以的.', '短评打分': 5}
{'短评内容': '环境好，服务也不错，住着挺好的.', '短评打分': 5}
{'短评内容': '服务很人性化，而且条件也非常好，室内的电话都是随便打的.挺不错.', '短评打分': 5}
{'短评内容': '环境还好，就是外边居民区看点旧旧的……服务态度还可以', '短评打分': 5}
{'短评内容': '客房隔音不是很好，显得比较吵，晚上休息时感觉睡不踏实.', '短评打分': 3}
{'短评内容': '客房采光不错，阳光直入，显得格外的明媚，其它各方面条件也是挺好的.', '短评打分': 5}
{'短评内容': '客房空间挺大的，而且浴室也挺大的，住着比较舒服.', '短评打分': 5}
{'短评内容': '非常差，很吵，晚上路上的摩托车鸣笛很严重，一直闹到凌晨4点，无法休息。另外，房间只有热水没有冷水，晕死，无法洗澡，严重投诉！', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '商务型的酒店，整体水平一般，主要是性价比高价格便宜，服务蛮到位的.', '短评打分': 5}
{'短评内容': '酒店设施很干净，光线充足，价格合理最关键的还是国内电话免费任打。还有功夫茶具跟免费茶叶。', '短评打分': 5}
