{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '老板很热情，服务很好，卫生很干净，值得推荐', '短评打分': 5}
{'短评内容': '房间有好有坏好的蛮不错的建议选进去右边的房间', '短评打分': 5}
{'短评内容': '老板热情，环境不错', '短评打分': 5}
{'短评内容': '还不错。环境可以。地址有些偏僻。可能是因为我是路痴。', '短评打分': 5}
{'短评内容': '我们连续住了两晚，价格在春节期间算便宜的了。', '短评打分': 5}
{'短评内容': '房间不错，老板人很好！虽然有点小插曲', '短评打分': 3}
{'短评内容': '非常好的一家客栈，住的两天都喊老板早起帮我们开门，老板人很客气，各方面都不错，非常推荐', '短评打分': 3}
{'短评内容': '不错，很安静！老板很热情，推荐了很多当地实惠好吃的东西！', '短评打分': 3}
{'短评内容': '挺好的，位置也近，老板人挺好的', '短评打分': 3}
{'短评内容': '房间太差，态度不好，想让联系接车说让我们自己找，去到找不到路说自己百度！我当时就想喷脏话了，打三个电话都挂断，这怎么做生意，以后再也不住便宜的了', '短评打分': 3}
{'短评内容': '酒店环境尚可，性价比很高，总体环境也很安静，提一点不足和建议，榻榻米三人间卫生好像不是很好，还有希望在院落设置提示语，我们住的那天几个带孩子的家庭大清早就开始敲鼓打闹，点素质都没有', '短评打分': 4}
{'短评内容': '在古城这地方，一百多的价格算不错了，经济适用，我们一共住了六天，不为别的，就为店主热情，真诚。期间店主带我们去了停车，吃饭，买东西，看风景等等，几乎VIP等级了，都让我们非常感动。院子里的苹果树，还有乖巧听话的萨摩狗“皮皮”，我们下次再见吧。', '短评打分': 5}
{'短评内容': '老板是两对年轻的情侣，人很热情，我们去的时候是4月下旬左右，同住的是一群和我们年龄相仿的年轻人，老板会招待大家晚上一起吃饭，喝酒做游戏，感觉超棒', '短评打分': 5}
