{'短评内容': '可以', '短评打分': 5}
{'短评内容': '老酒店，江景房不错。早餐还可以。', '短评打分': 5}
{'短评内容': '酒店虽然设施比较老，但是地段好。环境很棒，窗打开就是海，还能看到摆渡船，孩子很喜欢。如果设施再能更新下就完美了', '短评打分': 5}
{'短评内容': '卫生间很low', '短评打分': 4}
{'短评内容': '很好 江景房漂亮 早餐好吃', '短评打分': 4}
{'短评内容': '这次来崇明，还是选择天鹤大酒店，因为这是崇明最好的酒店，酒店位置在码头附近，还有很多公交车始发站，酒店的3楼中餐厅也新装修好了。', '短评打分': 5}
{'短评内容': '入住很顺利房间也比较干净，唯一的不足就是携程确认速度稍微慢了一点', '短评打分': 5}
{'短评内容': '老牌三星了，早餐在三星内属于出色的，交通方便，停车容易，推荐入住。', '短评打分': 5}
{'短评内容': '江景不错，房间就看得到落日，距酒店500米还有崇明学宫，服务也不错，房间WlFI信号不好，服务员马上拿来了路由器，是家有品质的酒店。', '短评打分': 5}
{'短评内容': '就在南门旁边，位置很好', '短评打分': 4}
{'短评内容': '真心一般的酒店，没啥好评价的，江景实在没有啥好看的，设施太古董了~', '短评打分': 3}
{'短评内容': '可以，虽然酒店老了点，但窗外就是江，如果天气好的话还是很不错的，下次应该还是住这家，至少是崇明最热闹的地区了，购物什么的都很方便，吃好晚饭去江边走走吹吹江风很不错', '短评打分': 5}
{'短评内容': '值得住', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置不错，南门路码头就在眼底.停车位太少.', '短评打分': 3}
{'短评内容': ' 刚入住，总体感觉很好', '短评打分': 3}
{'短评内容': '曾经的崇明第一高楼，26层，最繁华地段，崇明两会指定饭店。基本等同老牌三星饭店', '短评打分': 5}
{'短评内容': '一般 价格比较高 前台服务不是很热情 感觉就像别人欠他钱似地', '短评打分': 5}
{'短评内容': '酒店装修不算很新，但设施比较完善！服务也比较到位！', '短评打分': 5}
{'短评内容': '安静、干净，交通也方便，总体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店不错，位置很好', '短评打分': 3}
