{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店年代久了，设施陈旧，据说要装修了，希望能够改善。', '短评打分': 3}
{'短评内容': '四星级，还行。', '短评打分': 4}
{'短评内容': '临江风景优越，交通方便', '短评打分': 5}
{'短评内容': '临江风景不错', '短评打分': 5}
{'短评内容': '酒店位置真的很好，吃饭也方便，看景很舒心。宾馆时间长了，设施略老', '短评打分': 5}
{'短评内容': '房间特别简陋，电视还是最老的那种21寸大脑壳，居然连第一代液晶电视都没有，被子有点异味，卫生很差，卫生间热水倒是挺大挺热的，这点还算满意。', '短评打分': 3}
{'短评内容': '该酒店可以看长江及小镇全景，干净舒适，服务周到，对老人有特殊照料，应该是修三峡大坝时的准四星酒店，酒店外观重新装修过，富丽堂皇，内部设施很齐全，安静清爽，睡了一个好觉，值得再次入住。', '短评打分': 4}
{'短评内容': '酒店后面有烧烤炒菜，价位适中，我和老公，儿子吃的挺开心，用餐环境干净卫生，房间也比较大，离酒店不远有小超市。', '短评打分': 5}
{'短评内容': '周边环境优美，服务周到', '短评打分': 5}
{'短评内容': '服务员态度很好的，住了9天，记录下了最美秋色', '短评打分': 5}
{'短评内容': '位置特别好，空气清新。特别这几年宜昌市区大开发，脏的要命，住在这里真是不错。', '短评打分': 4}
{'短评内容': '个人较满意！有机会还是会选择三峡工程大酒店！前厅部的接待特别细心。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '酒店周边环境优美，在房间里可以看到江上游船往来，很美。\r\n房间很干净，但是装修不够精美，有点老。', '短评打分': 4}
{'短评内容': '酒店服务不错，但是设备老旧。楼下几层住了许多三峡总公司的培训学员，都穿着迷彩，每天都上百人集体用餐，很是热闹的。这几天三峡大坝泄洪，长江水流湍急，站在窗口就能看见。在楼道能看到大坝，很是壮观，三峡泄洪和夜景都非常美！', '短评打分': 5}
{'短评内容': '酒店位于三峡大坝坝区，干净、整洁，周边很宁静，环境好。但是周边的餐馆比较少，如果过了吃饭时间后，很难找到吃饭的餐馆了，很是不方便。', '短评打分': 5}
{'短评内容': '不错，档次高，设施好，服务好，真是物超所值。同档次中价格最好的，值得推荐入住。钱包掉了，也原样送还了，谢谢。', '短评打分': 3}
{'短评内容': '房间宽敞，江景房感觉不错，只是早餐品种比较少。。', '短评打分': 5}
{'短评内容': '比较不错啊，尤其适合短期旅游的朋友们，方便', '短评打分': 5}
{'短评内容': '很不错，但是也是唯一的，到这个酒店住宿的话，可以帮助办理通行证，是那种过夜的，晚上可以出去看看夜景，很好的。', '短评打分': 5}
{'短评内容': '酒店非常好！', '短评打分': 3}
{'短评内容': '酒店很好，不错的选择！', '短评打分': 3}
{'短评内容': '不错的，三峡景区内唯一的一家，过去并不对外开放。这个价位，住这样的宾馆，可以了！', '短评打分': 5}
{'短评内容': '可能是过年缘故，人很少，酒店的特价房好像就是原三峡工程人员的宿舍，空调不好用，窗子不能锁，不太理想。', '短评打分': 1}
{'短评内容': '酒店是景区唯一的选择，环境尚可，热水要很长时间才开始热，外面没有吃饭的地方，酒店的自助餐58元，感觉不值，很贵，小孩子也不打折。', '短评打分': 5}
{'短评内容': '酒店总体印象还可以，但是真淳楼档次有点低，设施很陈旧。早餐和自助餐价格较高，酒店周围基本没有其他消费场所，酒店服务还可以，距离大坝景区比较近，如果不考虑消费价格的话，推荐这家酒店。', '短评打分': 5}
{'短评内容': '基本满意，酒店环境服务都不错，停车方便。唯一不足的是设施稍微旧了点。', '短评打分': 5}
{'短评内容': '国庆节自驾游去了一次，感觉各方面都不错，最关键的是，停车比较方便。', '短评打分': 5}
{'短评内容': '很干净，服务态度也很不错。真淳楼设施旧了点，但整体对得起180的价格。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '干净，舒服，还可以看到江景', '短评打分': 3}
{'短评内容': '酒店挺不错的，虽然设施稍旧了点，可能是开了很多年了，但是很干净。服务人员的态度也很好！', '短评打分': 3}
{'短评内容': '很好的酒店。前台男生服务员态度诚恳，礼貌到位。一楼的自助餐早中晚都营业，也很方便。想去参观三峡，那是最好的选择。如果是临江的房间，就能看到西陵大桥了。', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '订房容易。为我们提供了药物存放服务。不足之处是坐轮椅人行动不方便。', '短评打分': 5}
{'短评内容': '还成吧 在坝区这样的地方，也没什么可选择的。虽然在宜昌不算便宜，不过也算是物有所值吧。', '短评打分': 5}
{'短评内容': '在三峡坝区也没有什么其他更多的选择了，这家店虽然在宜昌的价格不算便宜，但是副楼的话还算OK，而且即使是副楼装修也没有很不堪。餐厅的自助餐有点贵，午餐和晚餐的自助也还算是物有所值。', '短评打分': 5}
{'短评内容': '参观大坝很方便，节省时间。房间这个价格也算合理，唯一不好的是没有早餐，而且外面也没有卖早餐的，只能花38元在酒店吃。', '短评打分': 5}
{'短评内容': '。三峡工程大酒店环境很好。', '短评打分': 3}
{'短评内容': '该酒店服务太度不错，晚上比较安静，但酒店有点存旧感\n', '短评打分': 5}
{'短评内容': '已成功入住', '短评打分': 3}
{'短评内容': '参观三峡大坝需要住宿的不错的选择。服务良好。', '短评打分': 5}
{'短评内容': '已经是第二次入住了 环境很好 地段很好离景区很近 推荐', '短评打分': 5}
{'短评内容': '酒店紧邻三峡风景区位置很好 服务很周到提前打电话告知通行证如何办理 缺点是自助餐不免费', '短评打分': 5}
{'短评内容': '硬件不错，服务态度也很好！去景点方便，就是早餐得另买。住的酒店江景房，仅仅能看到江面，看不到三峡大坝。', '短评打分': 5}
{'短评内容': '性价比较高,水很好,24小时热水,服务热情.', '短评打分': 5}
{'短评内容': '酒店不错,离景区很近,干净', '短评打分': 3}
{'短评内容': '不错,性价比较高，很安静，住得很舒服。。。。', '短评打分': 5}
{'短评内容': '我于今年8月16日入住该酒店，退房时将一个化妆包忘在客房，后电话联系，该酒店客房部谭小姐答应用顺丰快递对方付费方式将此物品快递给我，我们是顺丰快递的月结商户，从没发生一起丢失邮件的事情，过了一个月居然还没有收到，致电谭小姐居然说当天给我发了顺丰快递，而快递单只保留一个月，快递单号无从查询，以贵方在三峡地区的知名度，顺丰快递电脑系统里不可能没有相应记录的，我觉得贵酒店应该对加强对员工培训，不要把顾客', '短评打分': 1}
{'短评内容': '很不舒适，很旧的房间，晚上回去一开门房间里竟然有蝙蝠飞来飞去。窗户都没有开着不知道从哪里飞进来的。绝不会向身边朋友推荐住这里', '短评打分': 1}
{'短评内容': '对于去三峡观景的朋友是非常不错的选择 离三峡换乘中心非常近 自助餐很棒 宾馆的客户经历很细心的帮忙办理通行证 推荐', '短评打分': 1}
{'短评内容': '酒店风景很好，安静。', '短评打分': 5}
{'短评内容': '适合去三峡大坝和三峡人家去玩的人去住！房间没早餐不合适！', '短评打分': 3}
{'短评内容': '比较适合去三峡大坝、三峡人家等景点去玩的游客。春天和秋天的时候 江水很清 很漂亮', '短评打分': 5}
{'短评内容': '酒店环境很好，蛮安静的，从酒店处可以看到三峡大坝的优美景观，风景特别好，酒店服务生服务不错，随叫随到，有求必应，很满意', '短评打分': 5}
{'短评内容': '性价比较高的酒店，卫生间洗漱用品不错，都是六神原装的，质量很好，房间布置的很简约，比较整洁，卫生打扫的很干净，住宿条件很好', '短评打分': 5}
{'短评内容': '酒店位于三峡葛洲坝坝口处，从房间可以看到很多山水风景，景色好，空气不错，酒店环境很安静，睡眠质量好', '短评打分': 5}
{'短评内容': '酒店卫生不错，打扫的很干净和及时，服务员态度也很好周到热情，主要是住在这里可以看到三峡大坝的景观，环境蛮好的', '短评打分': 5}
{'短评内容': '房间蛮大的，通风很好，空气清新，景色很好，卫生间洗澡，水压挺大的，洗澡挺舒服的，酒店的位置不错，出行还是蛮方便的', '短评打分': 5}
{'短评内容': '酒店环境很好，地处三峡大坝上，旅游很方便了，临江的房间感觉很好，卫生条件干净，房间硬件设施配备齐全，服务很好，环境不错', '短评打分': 5}
{'短评内容': '如果含早餐，这个价格还是可以。', '短评打分': 5}
{'短评内容': '很不错的酒店\r\n与宜昌清江酒店相比\r\n一个在天上\r\n一个在地下', '短评打分': 5}
{'短评内容': '舒适度比较差，建成时间比较早了，价格还是比较有优势的，房间面积很大，位置也很好，值得推荐入住。', '短评打分': 3}
{'短评内容': '要是旅游三峡大坝想看晚上的演出，在这住一晚挺方便，只是住的是旧楼，设施旧点，简单点，很静', '短评打分': 5}
{'短评内容': '与其他4星级相比，这个酒店显然不够格。服务员很不转业，竟然和我调侃个人问题，让我很不舒服。&lt;br /&gt;\n&lt;br /&gt;\n饭店还不错，价格很公道，房间环境很好，可以看到长江，离三峡工程近在咫尺。只是出租车无法开进，所以要住这里的朋友需要事先联系好有通行证的车辆，诸如旅行社的车，否则就要多花钱自己租车，从宜昌到三峡我单程就花了150。&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '服务员态度一般，要靠他们指路就完了，让我多跑了20公里地。房间设施成旧，而且一点都不隔音，空调开起来也很响，大床间明显是标间改的，墙上的痕迹很明显，早餐要另外付钱，实际要付到388元，是我在西安、成都、乐山、重庆以及武汉这一圈玩下来最贵的一家4星。唯一好的是卫生间水比较大，毕竟靠大坝近一点。', '短评打分': 3}
{'短评内容': '房间不错，但宽带要12元小时，有点贵，要是自驾车要事先联系好通行证，否则在坝区只能停留4小时，而且不能过夜，酒店也住不成了。', '短评打分': 3}
{'短评内容': '涨价了？岂有此理！！~还是去找熟人。', '短评打分': 3}
{'短评内容': '这个洒店很不错', '短评打分': 3}
{'短评内容': '很不错的酒店，配套设施齐全，套房住过不少名人。熟人可拿到240，不过这个价格不错。建议入住的朋友去玩玩保龄球。自助餐厅环境不错，只是没有海鲜。参观三峡工程的不二之选。&lt;br /&gt;\n只不过WAITER不够专业。', '短评打分': 3}
{'短评内容': '请大家注意，这个酒店的介绍中地理位置错了。这个酒店离葛洲坝很远很远，是离三峡大坝很近。如果你去参观三峡大坝的话，我推荐这个地方。感觉很温馨的。', '短评打分': 3}
