{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还真的不错', '短评打分': 4}
{'短评内容': '经济实惠，前台服务很好', '短评打分': 5}
{'短评内容': '前台很热情，有问题都积极的解决…下次大连之行还会选择', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '已经来过几次了，每次出差到大连，都选择宜佳快捷酒店，前台，客服服务都好，卫生也好，总之性价比非常高，房间也暖和。给个赞！！', '短评打分': 5}
{'短评内容': '我出差到大连新开路，不知选择哪家住宿，于是我就在网上搜索，看了宜佳快捷酒店的点评，我也订了一间特价房，住了之后，感觉也不错，性价比很高，', '短评打分': 5}
{'短评内容': '不错，值得推荐，性价比高！！下次出差还来！！周边干什么都方便！！', '短评打分': 5}
{'短评内容': '酒店位于市政府后身，在新开路，交通比较方便，周边有各家银行，大型超市，购物广场等，小吃也不少，总之方便，最主要的是性价比高！！', '短评打分': 5}
{'短评内容': '定的98的商务大床，后来艺龙联系我说没有了，给我免费改成商务套房，158，差价由艺龙承担，越来越喜欢用艺龙了。套房很大，不错', '短评打分': 3}
{'短评内容': '我定的是限时抢购房，是没有窗户的，但住起来没有闷得感觉，房间设施全，WIFI速度也不错，偶尔不好，可以再前台领一个迷你IP，信号刚刚的，就是的交押金，不过IP退给前台，押金就给返的，还有就是吹风机的到前台去取，不过好用，是飞利浦牌子的，服务和卫生都不错。', '短评打分': 5}
{'短评内容': '我朋友说是出差要去大连，问我前几次去都住在哪里，要交通和吃饭方便的市中心位置，我就推荐了这家宜佳快捷，朋友入住后还满意，说性价比非常高！说下次出差还来这家店住！', '短评打分': 5}
{'短评内容': '周边有大超市，房间布局合理，总体还可以。', '短评打分': 5}
{'短评内容': '服务员态度生硬  房间非常潮  睡的不舒服', '短评打分': 1}
{'短评内容': '＋前台服务态度很好，房间也不错，还可以预订各旅游景点的优惠套票。', '短评打分': 3}
{'短评内容': '一进屋感觉环境还行，门卡取不了电，给前台打电话让把一次性梳子插里，打开电视坐往床上一坐，那简直就是炕，掀开一看床垫子里是一块硬板，晕', '短评打分': 3}
{'短评内容': '酒店很干净，服务态度很好。价格公道，图片真实，下次还会去的！！！', '短评打分': 5}
{'短评内容': '房间大小适中，卫生状况很好，但是酒店设施较陈旧，尤其电视，望能改进！', '短评打分': 3}
{'短评内容': '地点较方便，房间布局合理，只是隔音效果不太好。总体还可以。', '短评打分': 5}
{'短评内容': '很不错哦 干净简洁', '短评打分': 3}
