{'短评内容': '哈哈哈哈哈', '短评打分': 5}
{'短评内容': '一年多没来了，还是那种感觉，不错', '短评打分': 5}
{'短评内容': '一般吧，感觉是好酒店没落了', '短评打分': 3}
{'短评内容': '来重庆意外收获，位置很好，环境非常满意，房间干净价格能接受。', '短评打分': 5}
{'短评内容': '早餐还好，服务态度挺好的，就在学校边上，考试走路三分钟就到了，周围饭店超市也很多，门口就是公交站，0.5-1公里有地铁站，离火车站和机场都不远', '短评打分': 5}
{'短评内容': '房间干净卫生', '短评打分': 5}
{'短评内容': '好，不错，下次再来', '短评打分': 5}
{'短评内容': '好，不错，下次再来', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '确实是急忙无奈的选择', '短评打分': 4}
{'短评内容': '酒店很一般，不过价格就只有这么点，停车很不方便，酒店没有停车的地方，位置也不是很好找，不过这个价格也差不多', '短评打分': 5}
{'短评内容': '酒店很一般，不过价格就只有这么点，停车很不方便，酒店没有停车的地方，位置也不是很好找，不过这个价格也差不多', '短评打分': 5}
{'短评内容': '第N次入住！', '短评打分': 4}
{'短评内容': ' 好评，物美价廉', '短评打分': 3}
{'短评内容': '因为酒店在一栋商品住宅里，房间还是较新的，但装修较差，靠隔壁卫生间墙上的墙纸受潮变色并翻卷，很影响观瞻，旁边有个建筑工地，比较吵', '短评打分': 3}
{'短评内容': '酒店不像介绍的四星标准。设施虽然比较新，但款式都很旧，也没什么设计。不喜欢。', '短评打分': 3}
{'短评内容': '房间大，东西新，就是隔音差', '短评打分': 3}
{'短评内容': '帮我男朋友订的酒店，店面不是很起眼，地段事前和前台联系了比较顺利。房间很大还带会客室，很满意！性价比也很高，下次有机会还会关顾！', '短评打分': 5}
{'短评内容': ' 非常好！房间很大，干净，设施很新，早餐也很好，很满意', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '干净整洁，前台小姐很热情。就是很多司机都不知道那个地方，打车的时候要说市公安局转盘他们才知道..', '短评打分': 5}
{'短评内容': '吵闹声大, 服务员素质较差,开始不准备提供发票', '短评打分': 5}
{'短评内容': '商务酒店，服务一般。入住第二天早上竟然停电，酒店也没有发电设备，上下爬了两次楼梯', '短评打分': 1}
{'短评内容': '房间还不错，很新，房间的硬件应该算三星以上的配置了，卫浴都是科勒的，呵呵，就是位置有点偏', '短评打分': 5}
{'短评内容': '很不错 就是有点不隔音  放假很新的 里面很卫生', '短评打分': 5}
