{'短评内容': '可以', '短评打分': 5}
{'短评内容': '真的可以免单吗', '短评打分': 4}
{'短评内容': '酒店比较老旧，而且卫生情况也不行，服务太度不到位，我是代同事代订，这是同事反映的情况', '短评打分': 4}
{'短评内容': '哎，价格还行，其他都不行。', '短评打分': 3}
{'短评内容': '真的一般般', '短评打分': 4}
{'短评内容': '替同事订的，出差来说住的一般啦。', '短评打分': 3}
{'短评内容': '环境一般。', '短评打分': 4}
{'短评内容': '印象很不好，房间顶灯怀了，墙上因为潮湿剥皮，想要换房间，说没有了，没肯换', '短评打分': 3}
{'短评内容': '提升空间较大…可能比较便宜的关系吧…', '短评打分': 3}
{'短评内容': '这家酒店非常差劲，经常出差第一次碰见卫生这么差劲的酒店，墙上掉漆，脱皮，还有虫在床上爬，房间里还有一股味道，wifi一直没有信号，提前订了两天的房，第一天晚上入住发现环境特别差之后就要求第二天不住了，希望返还第二天的房费，前台服务非常差劲，口气很不好，10月21号晚上凌晨12点的女孩态度非常差劲，还跟几个客户吵架，', '短评打分': 1}
{'短评内容': '环境一般、楼道有点黑，卫生间有股味，', '短评打分': 3}
{'短评内容': '商务出差的，交通不是很方便', '短评打分': 4}
{'短评内容': '商务出差的，交通不是很方便', '短评打分': 4}
{'短评内容': '性价比不高，环境还可以酒店出门就是公交车站，卫生挺干净的，房间有电脑可以上网，速度挺快的还是可以的，电视机没有一个频道是干净的，全部模糊看不清。', '短评打分': 4}
{'短评内容': '不错，有地方停车就行', '短评打分': 5}
