{'短评内容': '态度差', '短评打分': 1}
{'短评内容': '差，差太多，差太多，，差太多，差太多，差太多，差太多，，差太多，差太多，', '短评打分': 2}
{'短评内容': '酒店位置好，出行方便。', '短评打分': 5}
{'短评内容': '洗手间上方灯不亮，15层窗户漏风，空调不制热，马桶不干凈，没有毛巾，只有洗澡巾，晚上广场歌太吵。被子很暖和。', '短评打分': 3}
{'短评内容': '酒店位置较好：', '短评打分': 4}
{'短评内容': '房间不如百来块的快捷酒店干净，设施太破旧了，被子很薄，很硬，床也硬，真心不好，花两百多住这样的这么太差了', '短评打分': 1}
{'短评内容': '酒店房间巨大，2米的巨床，就是设施稍老旧', '短评打分': 5}
{'短评内容': '服务和酒店卫生非常差！再也不会订了！', '短评打分': 1}
{'短评内容': '短期游集合点就在楼下，很方便', '短评打分': 5}
{'短评内容': '脏，乱，差，三字来评价吧。老宾馆装修，房间是不知道什么时候铺的地毯，不要想有清理过。晚上十二点多，还不知道那儿唱歌的声音，还是没在调上的。晚上空调一点效果没，问前台，开始说空调有问题，在检查，后面再问，就变成空调没问题，而且语气，态度特别不好。那加个被子总可以，竟然告诉我，他联系不了，客房部，自己联系。。。建议大家可以选择周边。', '短评打分': 1}
{'短评内容': '脏乱差', '短评打分': 1}
{'短评内容': '价格适中 交通便利，老牌酒店，值得推荐', '短评打分': 5}
{'短评内容': '设施老旧环境嘈杂，和四星级酒店的标准差远了。', '短评打分': 3}
{'短评内容': '位置一般房间一般很嘈杂设施老旧，不够四星级标准。', '短评打分': 3}
{'短评内容': '位置很乱房间一般服务一般，和四星级酒店闭起来差远了。', '短评打分': 3}
{'短评内容': '房间一般位置一般设施很差，和四星级酒店的标准差远了。', '短评打分': 3}
{'短评内容': '下次我不会住这边了，效率很慢。。。。。。', '短评打分': 5}
{'短评内容': '极差的酒店，连招待所都不如，希望大家先了解再入住。', '短评打分': 1}
{'短评内容': '差到不能再差的酒店，入住后就像一场噩梦。', '短评打分': 1}
{'短评内容': '酒店地理位置很好，距离火车站几百米，地处市中心，很方便。就是设施有些陈旧。', '短评打分': 5}
{'短评内容': '酒店地理位置尚可，房间较宽大。酒店内有餐厅，早餐不错。但中晚餐不很方便。', '短评打分': 3}
{'短评内容': '离往西走1.2KM是火车站，往南走1.6KM是徐坊客运站（长途客车），位置不错，其实房间不值这个价。值得一提的是网速蛮快的。\n\n3楼有桑拿，有兴趣的朋友可以去尝试一下并来分享心得', '短评打分': 5}
{'短评内容': '3月1日因公事与同事一起入住，\n住宿条件一般，室内布置尚可，\n让人有点尴尬的是，卫生间是用玻璃围就的\n虽然是磨过砂，但影影绰绰，总归是能映入眼帘的。\n另外，工作人员不太小心，\n竟然把梳子当成牙刷，所幸我和同事都自带牙刷.\n\n\n\n\n\n', '短评打分': 1}
{'短评内容': '绝对不会推荐~~设施老旧~服务相当不好~并且中餐厅的菜品和服务真是突破了我的极限~酒店周边很乱~由于有夜总会的缘故吧~每天夜里都会有乱七八糟的人在就点内外喊叫~！真不明白这么一家酒店还能有4星~还不如汉庭。', '短评打分': 1}
{'短评内容': '地理位置很好，出行方便。', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '帮客人定的。客人没什么意见，，，还可以吧。应该', '短评打分': 5}
