{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房間整潔配備齊全', '短评打分': 5}
{'短评内容': '商务出差，酒店交通便利', '短评打分': 4}
{'短评内容': '很老的酒店，在很里面，倒是僻静，设施很古老，电梯反应很慢，空调暖气都一般，充电很不方便，口很少，过年期间没有早餐，而且周边不繁华不方便吃早饭，前台服务很好，硬件欠缺', '短评打分': 5}
{'短评内容': '原本以为这个价位，怎么地也要能入眼，结果实在不咋地。卫生间小到洗澡只能贴着马桶，热水器居然还只是50升的电热水器，头发还没洗好就没热水了。暖气片是摆设，空调一直异响，一晚上都吵人', '短评打分': 2}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '没有免费矿泉水，经济型', '短评打分': 3}
{'短评内容': '总体来说在北京的市中心这样的价格住这样的酒店信价比已经非常高了！房间卫生很清爽！就是有股淡淡的霉味！总体还可以', '短评打分': 4}
{'短评内容': '带父母和儿子来北京，预定时觉得交通方便，两边都是公园景点，老年人就近转转，入住后觉得周边太僻静了，', '短评打分': 5}
{'短评内容': '挺好的挺好的', '短评打分': 5}
{'短评内容': '与星级不是太符合', '短评打分': 3}
{'短评内容': '闹中取静，卫生不错，普通出差旅游值得选择。', '短评打分': 4}
{'短评内容': '还不错客户每次来都住这', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离地铁站大约有十分钟的路程，初到的朋友不太好找，出租车司机也不知道。早餐相当简单。', '短评打分': 1}
{'短评内容': '房间太小，电梯太旧，服务员态度恶劣，价钱尚可。', '短评打分': 5}
{'短评内容': '主要市地点中的价格优势，硬件有点老化了，得换了。', '短评打分': 5}
{'短评内容': '前台部分服务员态度一般，二位酒店紧握部分房源不对外。', '短评打分': 5}
{'短评内容': '一切都好，交通便利，院内安静，但隔音差，设备旧，总体值得推荐，', '短评打分': 5}
{'短评内容': '\n地段算闹中取静了，不过生活设施不方便，而且酒店里面的设施太陈旧，应直接学如家之类的简单。\n', '短评打分': 5}
{'短评内容': '很一般了，没什么太好的感觉，屋子没有暖气，空调给的不足，潮气很大。。。', '短评打分': 1}
{'短评内容': '环境很好 价格不高 主要房间太小了 建议改良改良 白天不提供暖气', '短评打分': 5}
{'短评内容': '友谊宾馆环境相当好，交通很便利，配套也不错，价格合适', '短评打分': 5}
{'短评内容': '距离天坛很近，地铁也很方便，周围设施配套还不错', '短评打分': 5}
{'短评内容': ' 酒店房间/服务不错，只是位置偏了点，但在北京这样的价格算可以了', '短评打分': 5}
{'短评内容': '隔音效果太差！！周边好偏僻 房间条件不错', '短评打分': 3}
{'短评内容': '酒店住宿位置相当不错，房间面积也很大，就是应该装修一下，有些老点了呵呵，总体还是不错的', '短评打分': 5}
