{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好呦', '短评打分': 5}
{'短评内容': '有一个小停车场，房间布置比较舒服', '短评打分': 5}
{'短评内容': '送水', '短评打分': 5}
{'短评内容': '房间满意，整体感觉不错。作为快捷酒店来讲已经不错了。请尽快给发点京东豆豆', '短评打分': 5}
{'短评内容': '很方便，干净，位置不错', '短评打分': 5}
{'短评内容': '还行，挺好的', '短评打分': 5}
{'短评内容': '。。。。。。。。。', '短评打分': 5}
{'短评内容': '这家锦江之星虽说是直营店，但装修有点陈旧了。优点是：房间比其他店的大点，位置好，价格也便宜。不讲究的将就住住还是可以的。', '短评打分': 4}
{'短评内容': '装修中，感觉不太干净', '短评打分': 5}
{'短评内容': '服务周到环境优雅交通便利', '短评打分': 5}
{'短评内容': '环境不错服务周到', '短评打分': 5}
{'短评内容': '不错，就是太闷了', '短评打分': 5}
{'短评内容': '很好住过好多次的地方了，每次都很满意', '短评打分': 5}
{'短评内容': '地段好，价格实惠', '短评打分': 5}
{'短评内容': '凑合', '短评打分': 4}
{'短评内容': '还不错，离柳巷也很近，房间设备略显陈旧…其他方面都很好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '住了多次，条件比错，周围吃饭也比较方便，早晨走不远能吃到头脑', '短评打分': 5}
{'短评内容': '环境不错，地理位置很好，服务也很好，设施齐全，值得推荐。', '短评打分': 5}
{'短评内容': '很不错的酒店  无论是地理位置也好 酒店设施也好 房间的窗户很大 去太原那边蓝天白云  所以打开窗户 很是美丽  住的很愉快~ 下次去依旧会住这家  ', '短评打分': 5}
{'短评内容': '酒店位置极佳,位于太原两条主要大街交汇处.房间面积略小,但装修不错,设备很新，属于典型的经济时尚型酒店，适合一般商务和个人旅行。酒店毗邻大街，所以夜间很吵，另外酒店门前车场竖着“金广快捷P”的标牌，收费10元，但进店后才被告知酒店后面有免费停车。', '短评打分': 5}
{'短评内容': '挺干净，那天早上去的早，客服还帮忙给安排了房间，服务不错。', '短评打分': 5}
{'短评内容': '比较不错的一座酒店，值得推荐，值得推荐。', '短评打分': 5}
{'短评内容': '房间比较干净，交通方便！服务不错！房间略小！', '短评打分': 5}
{'短评内容': '早餐丰富，比较干净，总体来说不错。下次还来。', '短评打分': 5}
{'短评内容': '很好。下雨还有雨伞。服务也很好。。。还送水，下回还去', '短评打分': 5}
{'短评内容': '该酒店地理位置好，条件也不错，下次再来。', '短评打分': 3}
{'短评内容': '多次入住，价格实惠，装修很新。早餐虽不多，但很有地方特色。值得推荐！', '短评打分': 5}
{'短评内容': '比较方便，只是白天比较嘈杂，条件还不错。', '短评打分': 5}
{'短评内容': '酒店不错，下次还会住这里酒店不错，下次还会住这里酒店不错，下次还会住这里酒店不错，下次还会住这里', '短评打分': 5}
