{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '来考试的。早餐真的在对面麦当劳吃，哈哈好新奇，还给两个鸡蛋。房间蛮大的，还比较整洁干净。对面是世纪联华超市，但是旁边吃饭地方不多。', '短评打分': 4}
{'短评内容': '早餐是麦当劳 很新奇 但也不错 位置很好找 出差住不错', '短评打分': 5}
{'短评内容': '还挺不错的啊', '短评打分': 5}
{'短评内容': '很旧的酒店  卫生差   周边相对比较方便', '短评打分': 2}
{'短评内容': '房间大，配套齐全，有些旧，房间在马路边，有点吵', '短评打分': 4}
{'短评内容': '酒店下面买水果方便，对面是联华超市，走路3分钟，麦当劳也在超市下面，都挺方便，隔壁是咖啡厅，消费偏高', '短评打分': 4}
{'短评内容': '帮朋友订的；预定过程中，由于出行人员和时间不断变化，造成订单不断修改，但工作人员都能通过网络或电话修正，使朋友能顺利入住。朋友对酒店的位置、餐饮等非常满意。', '短评打分': 5}
{'短评内容': '垃圾酒店，这辈子也不可能再去预定一次。', '短评打分': 1}
{'短评内容': '一般吧，萧山的好酒店太少了。好在第二天到萧山电大有事，比较近。', '短评打分': 4}
{'短评内容': '早餐那个灌汤包味道不错噢', '短评打分': 5}
{'短评内容': '距离出差的地方近，方便', '短评打分': 5}
{'短评内容': '房间不错，老板娘还赠糍耙呢。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '整体来说还不错。环境挺好。有免费水和茶', '短评打分': 5}
{'短评内容': ' 客房不错', '短评打分': 3}
{'短评内容': '设备设施都还不错，就是附近的此起彼伏关门声比较吵，影响休息。', '短评打分': 3}
{'短评内容': '很不错的酒店，设施一流，力荐，原本觉得218的价格有点高了，但看了以后真的觉得物有所值', '短评打分': 5}
{'短评内容': '環境乾淨~~但是3樓的唱歌有時候太大聲會吵到~~', '短评打分': 5}
