{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '环境很好，卫生也好，离步行街和吉庆街也近。', '短评打分': 5}
{'短评内容': '挺好的，很快，很放心', '短评打分': 5}
{'短评内容': '?', '短评打分': 5}
{'短评内容': '床超级不舒服', '短评打分': 2}
{'短评内容': '卫生…一般', '短评打分': 5}
{'短评内容': '卫生一般', '短评打分': 5}
{'短评内容': '旁边有一家更好的……', '短评打分': 4}
{'短评内容': '汉口火车站，直接坐2号线地铁，循礼门站下来，步行大约3分钟即到，非常方便。另外酒店门口就有公交车站，步行2分钟到达大名鼎鼎的江汉路步行街。地理位置非常好。下次还住这家酒店', '短评打分': 4}
{'短评内容': '住完后还有积分赠送，房间无窗，内有宽带网线接口，没有WIFI，1F无线密码12345678', '短评打分': 4}
{'短评内容': '京东服务很满意,挺不错的,值得推荐', '短评打分': 5}
{'短评内容': '   是一家新开的，环境跟别的一样，但设施上感觉比别的如家好点，就在南京路这边，很方便。下次还会住这家。', '短评打分': 5}
