{'descr': '便宜', 'star': 3}
{'descr': '便宜。。。。', 'star': 3}
{'descr': '很实惠，适合学生出去住', 'star': 5}
{'descr': '………………不想说什么，他就是便宜。', 'star': 3}
{'descr': '这个房间竟然连热水都没有，房间小的可怕，还有最重要的一点就是太吵了，3楼是KTV，吵的睡不着觉，真不知道那么高的评分是怎么刷上去的，下次再也不住了', 'star': 2}
{'descr': '性价比真的高，环境也不错，周边吃喝玩乐一条龙，总之66666666666666666666666666', 'star': 5}
{'descr': '给升级了很优惠很好。。。。。', 'star': 5}
{'descr': '很便宜，挺实惠的，就是交通不太方便', 'star': 4}
{'descr': '房间不是很大，没有窗户，还算整洁吧。', 'star': 4}
{'descr': '关键是价格很便宜，其他方面都在能接受的范围内，出门在外能满足基本生活需求。大众消费，出差，旅游首先。', 'star': 5}
{'descr': '还行，周六这个价算便宜的了，就是设施有待提高啊！', 'star': 3}
{'descr': '还不错  房间虽小  五脏俱全', 'star': 5}
{'descr': '非常不错的榻榻米房间，性价比很高，下次还会去', 'star': 3}
{'descr': '挺不错的，值得推荐。。。', 'star': 3}
{'descr': '房间隔音效果不好其他的还可以', 'star': 3}
{'descr': '房间虽小但干净舒适，有数字电视、无线网络，速度还很快。', 'star': 5}
{'descr': '价格低，适合单人入住，海友客栈不错的，以后还会入住的', 'star': 5}
{'descr': '交通很方便。周围吃的比较多。酒店环境很好。房间是小了点。但是肯定够住了。榻榻米真的很可爱。也蛮干净的。就是很不错。价格也实惠', 'star': 5}
{'descr': '很好，舒服，干净整洁，就是房间小了点，其他都不错，大爱榻榻米', 'star': 5}
{'descr': '我觉得很好。很实惠。性价比高。\n相对于一些同等价位的，海友既是牌子的又不贵。\n但是相对于同等的快捷，海友属于实惠贴心。该有的都有', 'star': 5}
{'descr': '  一如既往的好', 'star': 3}
{'descr': '房间小得要命，淋浴底下就是便池，很容易洗着澡就踩进便池了', 'star': 1}
{'descr': '蛮好的，环境不错呀', 'star': 3}
{'descr': '不错哦，服务蛮好的，环境也蛮好的，还有车子接\n', 'star': 5}
{'descr': '酒店干净卫生，床型舒适，价位也很适中，很适合商务人士入住。', 'star': 5}
{'descr': '环境不错..很喜欢...下次还去...设施不错..就是上电梯要刷卡...', 'star': 5}
{'descr': '空调不能自己调温…其他不错', 'star': 3}
{'descr': '房间不错，服务到位。地点也不算太偏。就是附近用餐都以小吃为主', 'star': 5}
{'descr': '房间还行，挺干净的。。。', 'star': 3}
{'descr': '性价比高~~真的值得入住~~我都是找我女朋友的时候住那。', 'star': 5}
{'descr': '环境整洁、价格实惠、服务周到。\n大学生情侣开房操作最佳场所。', 'star': 5}
{'descr': '还不错，就是位置有点难找', 'star': 3}
{'descr': '虽然房间不大，但是干净整洁。周边不是很繁华，找吃饭的地方不是很容易。屋子里没有电话这件事让我有点小抑郁……', 'star': 5}
{'descr': '环境整洁、价格实惠。\n在校生开房操作首先场所。', 'star': 5}
{'descr': '一般，宽带不行，卫生状况一般，隔音效果差，房间很小。服务还ok', 'star': 1}
{'descr': '很好的酒店。', 'star': 3}
{'descr': '经济、实惠、干净、不过就是感觉有点小了，地方有点不好找', 'star': 5}
{'descr': '地方还好，空间有点小，电视不错，适合去看比赛～', 'star': 3}
{'descr': '环境还好，就是太小了，更便宜点就好了......以后便宜点的话，应该还会再来的', 'star': 5}
{'descr': '地理位置不错…房间挺干净', 'star': 3}
{'descr': '环境整理、价格实惠（周五、六除外）、服务人员太度较好（办事未必会去办），在校青年最佳操作场所。', 'star': 5}
{'descr': '酒店有提供免费接送服务，很贴心。并且价位很适中，性价比很高。房间很舒适干净。', 'star': 5}
{'descr': '还不错,很整洁', 'star': 3}
{'descr': '跟城隍庙很近，买东西方便，房间干净、简单、宽敞，就是没有电梯，虽然只有二楼，但是行李多时，就不方便了。', 'star': 5}
{'descr': '环境整洁、性价比高、服务周到。\n在校情侣最佳操作场所之一。', 'star': 5}
{'descr': '环境整洁、性价比高、服务周到。\n在校青年操作首选场所。', 'star': 5}
{'descr': '环境整洁、性价比高、服务周到！\n在校青年情侣操作首选场所。', 'star': 5}
{'descr': '价格便宜 但是很小 交通不是特别便利，叫酒店接送的服务么有试过，我是河定桥那边的，但是下次可以试试', 'star': 5}
{'descr': '很温馨 太喜欢里面的墙上的装饰了 真好看呢 房间小但是很温馨 样样俱全的 在天印大道地铁站下是最近的其实 不过在河定桥下也还好 打电话给他们会有人来接的 很贴心 三楼还有网吧不过一张卡只能刷一台电脑 免费的呢 还有台球桌什么的哈哈', 'star': 5}
{'descr': '不错的酒店，还有接送服务。就是偏远了点。', 'star': 5}
{'descr': '设施齐全，干净卫生。值得！', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '不错的榻榻米~', 'star': 3}
{'descr': '还不错，干净，床很大很舒服。晚上很安静，离豫园和外滩都很近。', 'star': 5}
{'descr': ' 这个假期住过三家快捷酒店 这里设施是最不完善的一家 备用被子没有 房间里没有吹风机 前台的被借走了 没回来 床单和被子很潮 但是老板态度还不错 可能是刚开始营业吧 有待提高 不过价位还是可以的', 'star': 3}
{'descr': '酒店房间好小 灯光也很暗 隔音更是差 感觉除了离城隍庙近以外 其他没什么 不推荐入住', 'star': 1}
{'descr': '住过好几回了，房间是比较小的，但是很整洁，仅是住宿没什么的，不过一般不提供洗漱用品。而且离地铁站比较远，但可以向酒店提出要求车送或车接一次，这点不错。', 'star': 5}
{'descr': '便宜，但房间太小，隔音效果也不好，都能很清楚听见别的房间的声音。', 'star': 5}
{'descr': '酒店很小，但是价格便宜，服务还是很不错的，在城中心，来南京是不错的选择。', 'star': 5}
{'descr': '酒店很小，但是价格便宜，服务还是很不错的，在城中心，来江宁是不错的选择。', 'star': 5}
{'descr': '不错的酒店。。位置在江宁。。去了好几次了。。', 'star': 5}
{'descr': '实惠，交通不太便利其他都ok！！！！！！！！！！', 'star': 5}
{'descr': '房间环境还不错，就是周围不太好找吃饭的地', 'star': 5}
{'descr': '环境整洁、交通方便、价格低廉（但周五、六建议住其它地方）、服务周到。', 'star': 5}
{'descr': '环境不错，价格不错', 'star': 3}
{'descr': '选购的是特价房，所以房间很小，但是在与店家商议之后进行了换房，还算满意', 'star': 5}
{'descr': '干净，舒适，下次继续住', 'star': 3}
{'descr': '不错，一直住这样的酒店。。。。 。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '前台很热情', 'star': 3}
{'descr': '虽然酒店离地很远，但是交通还是可以的。服务态度也还不错的说。亲们可以考虑', 'star': 5}
{'descr': '就是有点小，环境还是不错的', 'star': 3}
{'descr': '真是非常不错的酒店，纯属意外发现，下次去江宁还会选择！', 'star': 5}
{'descr': '很不错的快捷酒店，希望以后能越来越好，特别是游戏光盘', 'star': 5}
{'descr': '不错的酒店，，娱乐设施还是蛮齐全的。。。。。。。。。。', 'star': 5}
{'descr': '交通方便，干净。。就是空间小了点。。不过还是物美价廉。', 'star': 5}
{'descr': '到江宁来两次都是住的这里，感觉很好，特别的网速超快', 'star': 5}
{'descr': '房间太小，有气味，但是还在商业区，出行餐饮比较方便。', 'star': 1}
{'descr': '房间小了点，不过挺温馨', 'star': 3}
{'descr': '真是非常不错的酒店，纯属意外发现，下次去江宁还会选择！', 'star': 5}
{'descr': '每次住的感觉都不错', 'star': 3}
{'descr': '房间设施不错，交通不便', 'star': 3}
{'descr': '很不错，虽小，但设施齐全，比较干净，前台很热情，总之住着很舒适，性价比很高，有机会还会去的。', 'star': 5}
{'descr': '说实话，房间有点小，地方也难找，订的是无窗的房间，味道有点重~', 'star': 1}
{'descr': '酒店基础设施还不错，尤其是电视很给力。不过地理位置好像有点偏远，走了好久也没找到可以吃饭的地方。', 'star': 5}
{'descr': '内部环境还不错，就是周围不太好，都没什么吃饭逛街的地方', 'star': 5}
{'descr': '环境价钱还可以，但位置比较偏僻。酒店前台态度一般，我住三天，不肯天天更换被单，让他们换换还诸多意见', 'star': 5}
{'descr': '服务态度好，地理位置稍偏，总体佳。\n提前到店，若无空房间，前台还会安排你到活动室休息等房间，不错！', 'star': 5}
{'descr': '不错。水大。。老板还亲自开车送到地铁口。', 'star': 5}
{'descr': '环境比较干净，卫生，安全，还是性价比挺高的，还是值得入住', 'star': 5}
{'descr': '挺好的，环境蛮好的、就是找的时候有点困难', 'star': 5}
