{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '这家酒店是我每次到这里来必住的！从性价比来看，相对于附近的几家酒店我觉得是蛮高的了！整个房间看起来不会很小，而且住起来我是觉得很不错，也不会压郁！所以我就比较喜欢！', '短评打分': 3}
{'短评内容': '位置不错，离火车站很近', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间的面积还可以，不过床垫中间会凹下去，差评', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还是很不错的，下次还会在来', '短评打分': 5}
{'短评内容': '真不错', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '住的第二晚，换了房间，面对马路实在太吵，隔音太差，早餐于8点35去吃已经几乎没有了', '短评打分': 4}
{'短评内容': '酒店在火车站附近，但还是有一段距离，步行约15到20分钟，马路对面还有家速8，入住的这幢楼新开的，所以卫生环境和设施都不错，就是靠近马路有点吵隔音一般，浴室热水很大，服务还行，酒店的早餐品种太单一了，房间有乐视网络电视', '短评打分': 5}
{'短评内容': '到这个地方出差，一般都住这个酒店，干净整洁', '短评打分': 5}
{'短评内容': '常住店', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '较整洁', '短评打分': 5}
{'短评内容': '住的那边是工地有点吵，其余还好', '短评打分': 5}
{'短评内容': '酒店位置挺合适的 房间也大 价格还好吧 刚好退房的时候看到有新人结婚 祝福啊', '短评打分': 5}
{'短评内容': '还行吧，就是房间阴暗了一点。地毯上都脏了，价格有点高', '短评打分': 1}
{'短评内容': '这家酒店算可以阿，就是有分AB楼，相对面，这样很不方便', '短评打分': 5}
{'短评内容': '1、当天男服务生服务还不错，有问必答。只是我要求安静房间，还是安排到一间靠路那边的房间\n2、卫生间不是很好，淋浴的地方没有东西隔，洗澡后卫生间都是水，踩不进去。\n3、价格实惠，很值得一住\n4、离火车站和长途汽车站近，但又不会太靠近。', '短评打分': 5}
{'短评内容': '我这次住得是B楼，一进大厅，感觉冷冷清清，没一点人气。进入房间，还算不错，必竟只有148元，还是值得！但如果下次再来，肯定要住A楼。那边要方便些。还有，离市中心稍远点。', '短评打分': 5}
{'短评内容': '前台服务一般，房间也一般，有点遗憾。', '短评打分': 3}
{'短评内容': '总体感觉还不错，简洁，干净，交通便捷，出行方便', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 3}
{'短评内容': ' 基本上满意，就是房间设施有点旧，地毯味道中', '短评打分': 3}
{'短评内容': '房间味道其臭无比，地毯透发一股霉味，捂着鼻子跟本没法睡，换了一间还是那么臭，其他还好，建议带空气清新剂才可入住。没有下次了…', '短评打分': 3}
{'短评内容': '酒店比较干净,在龙岩市中心，比较好找，就是空调要客人到店后才能给，刚开始比较热，后来就好了，呵呵，酒店一般，但比较便宜，还能住', '短评打分': 5}
{'短评内容': 'B楼的早晨还要要对面的楼去吃，不是很方便；酒店的地毯感觉不是很好，有味道', '短评打分': 1}
{'短评内容': '不错，性价比比较高。地板铺有地毯，不吵。出行方便，周围有小吃餐饮都有，附近还有一家超市。送早餐。', '短评打分': 5}
{'短评内容': '可能刚好酒店在装修，各方面条件都较差~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '房间设施有点陈旧，不过价格还行，千万别住B楼，比较吵', '短评打分': 5}
{'短评内容': '酒店规模不大,人少，所以比较安静,价格便宜,有免费早餐提供,位于市中心,算是那一带比较好的酒店,交通便利,房间配置齐全,不烦琐。', '短评打分': 5}
{'短评内容': '一个字，烂：两个字：很烂，三个字：相当烂！网速慢的像乌龟，洗澡水是滴的。服务态度还很差！', '短评打分': 1}
{'短评内容': '实惠', '短评打分': 3}
