{'短评内容': '可以', '短评打分': 5}
{'短评内容': '能装修下吗。', '短评打分': 1}
{'短评内容': '服务态度一点也不好，服务员很横，环境也不怎么样位置有点偏', '短评打分': 2}
{'短评内容': '酒店很干净，床垫很柔软。房间里的有食品和饮料，挺不错的。最重要的是前台的美女和餐厅的阿姨的服务态度非常的好,也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。值得推荐的好酒店。', '短评打分': 5}
{'短评内容': '围着体育馆的房间，走道走得我怀疑人生了…出去一趟跟迷宫似的…不过房间不错，光线好空气好也安静…装修风格也挺喜欢的…', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '很差，周围环境乱糟糟，房间里面设施也比较差，总之很不满意，第二天就立马换了一家', '短评打分': 2}
{'短评内容': '距离体育馆近', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间还是旧了一点点', '短评打分': 5}
{'短评内容': '马桶要改善一下', '短评打分': 4}
{'短评内容': '各方面条件都一般般,离天心阁、湘江沿江风光带、坡子街火宫殿挺近的,一个人的话还可以,毕竟价格在那。如果带着孩子的话,还是建议找个更好一点的住处。', '短评打分': 3}
{'短评内容': '周边环境很好，服务态度很好，就是洗澡水小了一点，希望能改进。下次会再来。', '短评打分': 5}
{'短评内容': '房间有味道', '短评打分': 2}
{'短评内容': '还过得去吧，对得起这个价格，经济实惠，位置还可以，卫生条件也过得去，美中不足的是没有洗漱用品，需花5块钱买', '短评打分': 5}
{'短评内容': '吃饭方便，离贺龙体育馆真近!', '短评打分': 5}
{'短评内容': '很不好，床小空间小。不适合人住。而且环境不好，下面是KTV，噪声很大', '短评打分': 1}
{'短评内容': '酒店感觉还可以，对得起这个价格…   就是木有电梯，有点遗憾…', '短评打分': 3}
{'短评内容': '环境可以，二楼是浴足和KTV，比较方便，服务态度一般般。', '短评打分': 5}
{'短评内容': '交通还算便利，环境还是可以的，只不过没有洗发水沐浴露那些用品不太方便。', '短评打分': 5}
{'短评内容': '房间很小，照片不可信！！！！！！！！！！！！！！！！！！1', '短评打分': 1}
{'短评内容': '第一天住进去，楼下又打又砸~早晨下楼楼梯口那血迹都没来得及擦！', '短评打分': 1}
{'短评内容': '环境挺好的，感觉房间的整体颜色挺让人舒心，房间设计还可以，价格比较实惠，满意，希望下次到长沙旅游还住这里…', '短评打分': 3}
{'短评内容': '接待热情', '短评打分': 3}
{'短评内容': ' 已经入住', '短评打分': 3}
{'短评内容': '主要是不通风，床、被子有点润，但价格还是比较便宜。', '短评打分': 5}
{'短评内容': '大堂楼梯卫生要注意清洁，，呵呵。。最好有电梯，，，', '短评打分': 5}
{'短评内容': '价格也合理 设施齐全  就是空调不太给力了点', '短评打分': 5}
{'短评内容': '我们是5.1前的晚上入住该酒店，地理位置很好。价格也较便宜。前台服务令人满意。我们多次变更房间数，前台服务人员没有半点不耐烦情绪，下次去听歌还住那里。', '短评打分': 5}
{'短评内容': '酒店一楼是大众化的餐馆，二楼是KTV和足浴的地方，且地处繁华地带，有免费停车位，适合自驾游的驴友', '短评打分': 5}
{'短评内容': '位于闹市中心，设施还可以，有免费的地下停车场，性价比较高', '短评打分': 5}
{'短评内容': '酒店的位置还可以。就是隔音效果太差了，底下是个洗浴城，人员有点复杂。', '短评打分': 1}
{'短评内容': '还可以，环境还不错``周围娱乐场所都蛮多的，服务态度也还可以``', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '设施还算行啦   就是热水不够大    隔音不好  可能是我住的那间窗户对着走廊吧', '短评打分': 5}
{'短评内容': '酒店没有想象中的那么好，早上竟然都没有热水！！更搞笑的是第二天早上出门和前台服务员说了要续房还有卫生清洁，晚上回来居然门都打不开。。。又要跑下去解锁！这样也就算了，进了房间后房间还是原样，卫生根本就没有打扫！接着又给前台打电话叫人来搞卫生，催了三次都没有人来！最后还是跑去卫生房叫人来打扫的房间。。。。。本人觉得这家酒店是我住过最特别的酒店，给我留下的印象实在是太深刻了，本人在此向美乐家园的全体员工', '短评打分': 1}
{'短评内容': '楼下有KTV 很吵 开店时间虽然是2010年 但是以前的宾馆改的 反正有些失望', '短评打分': 1}
