{'短评内容': '可以', '短评打分': 5}
{'短评内容': '服务态度还不错，', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '服务人员很热情', '短评打分': 5}
{'短评内容': '还不错，下回继续入住。', '短评打分': 5}
{'短评内容': '房间吵的要死', '短评打分': 1}
{'短评内容': '很满意 很好 ', '短评打分': 5}
{'短评内容': '附近吃的很多。酒店挺好的，房间里还有很多吃的。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，很安静。值得推荐！', '短评打分': 5}
{'短评内容': '已经不是第一次来住了，非常好。每次过广州都住在这里。', '短评打分': 5}
{'短评内容': '订之前显示可反现，但现在为什么没有了？', '短评打分': 5}
{'短评内容': '酒店设施还可以，第二次入住了，感觉吃住出游都很方便', '短评打分': 5}
{'短评内容': '本来房间卫生可以打四分的，但是当我想喝水的时候，居然发现床头柜的一个茶杯里有上一个客人喝剩的茶和茶叶，住了这么多年酒店第一次碰到这种情况，还有洗手间的刷牙杯实在是太脏了。酒店附近的配套倒是非常齐全，想吃什么买什么很方便，地铁也就十分钟内的步行路程。', '短评打分': 4}
{'短评内容': '周边有吃饭方便，玩的，地铁都有，快捷方便', '短评打分': 4}
{'短评内容': '还行，家里来客人长期安排在这。', '短评打分': 3}
