{'短评内容': '可以', '短评打分': 4}
{'短评内容': '交通好，位置好，停车方便', '短评打分': 5}
{'短评内容': '80年代的豪华装修，有点落伍了', '短评打分': 3}
{'短评内容': '市中心，出行方便。房间设施坏了也不修，淋浴无法恒温', '短评打分': 4}
{'短评内容': '出差', '短评打分': 3}
{'短评内容': '酒店比较老，很多东西比较旧，价格到是挺实惠', '短评打分': 4}
{'短评内容': '房间较大，比较干净。临街房间大一点。', '短评打分': 4}
{'短评内容': '这个价位的房间还是很不错的…。', '短评打分': 4}
{'短评内容': '空调太响，早餐一般，设施陈旧？！！！！！', '短评打分': 3}
{'短评内容': '酒店设施陈旧，环境不好，服务态度也不好。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店位置不错，早餐也可以，服务人员也不错。物有所值，还会再来。', '短评打分': 3}
{'短评内容': '价格优惠。楼下有餐厅。以后还会去住，更多体验再说。', '短评打分': 5}
{'短评内容': '环境不错，服务也很周到，离火车站比较近，总体还是很不错的。。。', '短评打分': 5}
{'短评内容': '环境还不错，房间也比较大。总台的服务很好。', '短评打分': 5}
{'短评内容': '不错\r', '短评打分': 3}
{'短评内容': '可以，档次还不错，建议接待客人，但是有点贵', '短评打分': 5}
{'短评内容': '不好，说是2010年3月份重新装修，其实没有装修，房间很破。', '短评打分': 1}
{'短评内容': '客房比较干净，而且整洁程度很好，空间设局比较好住着比较舒适.', '短评打分': 5}
{'短评内容': '强烈表扬37号服务员！因本人不慎把一件重要单据扔掉了，发现时房间早已打扫干净，抱着一线渺茫的希望询问是否还能找回这个单据，37号服务员居然不可思议地出现在门口，手持垃圾袋，亲自动手给我翻找，非常感动！\n希望看到这条信息的人能替我向这位处处为顾客着想的37号服务员转达我诚挚的谢意！谢谢你！', '短评打分': 5}
{'短评内容': '整体条件一般，主要是位置好交通出行方便，其它各方面一般化.', '短评打分': 3}
{'短评内容': '客房条件一般，服务人员倒是蛮不错的，热情周到，早餐提供的不错.', '短评打分': 5}
{'短评内容': '客房整洁度很好，服务人员办事效率也可以，就是客房隔音不好，走廊声音房间内可以听得到，比较吵一些.', '短评打分': 3}
{'短评内容': '空间蛮大的，住着感觉还可以，就是卫生间的淋浴硬件配置不太好，需要及时再改装一下.', '短评打分': 5}
