{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '方便出行！下高速5分钟就到！', '短评打分': 5}
{'短评内容': '感觉不到服务，感觉像是快关门了似的。卫生还可以，空调真差劲，床单破洞真多，有一条毛巾感觉都没换新的。房间酒店宣传册里面画的乱七八糟也没换过。关键是一个准四星酒店连刷卡都不能刷，只能付现金。总之一个字：真日sei！其实我感觉评论这么多，这家酒店的负责人也不会看的，我百分百肯定。', '短评打分': 2}
{'短评内容': '每次上普陀山都住这里，非常舒心,。', '短评打分': 5}
{'短评内容': '很好 值得住', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '性价比还是非常高的，特价99，房间很大含早餐。基本上所有房间都是含电脑的，网速也可以，就是无线网偶尔信号很差', '短评打分': 4}
{'短评内容': '比较老旧，卫生条件还可以，房间足够大，总体不错', '短评打分': 4}
{'短评内容': '这样的酒店，根本不值这个价钱，设施陈旧不说，卫生还很差，感觉床单都没有换，不如美宜家！！', '短评打分': 1}
{'短评内容': '空调坏掉，灯坏掉，洗澡水小的可怜，黄河大酒店真是越来越差', '短评打分': 3}
{'短评内容': '整体很满意，唯一美中不足就是无线网络不给力。', '短评打分': 4}
{'短评内容': '好！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '地方不错，离高速很近，可酒店的餐厅不营业了，不过边上不远就有不少吃饭的地方。环境很安静，房间挺宽敞，热水压力不行，住得还算不错。', '短评打分': 5}
{'短评内容': '酒店装修有点旧，人气不足，位置偏，吃饭也不方便啊！', '短评打分': 3}
