{'短评内容': '可以', '短评打分': 5}
{'短评内容': '别的都不错，就是前台的态度太差。人家推迟退房，没有房间给我还口气差的要死。如果那天心情好，不然又吵起来了', '短评打分': 5}
{'短评内容': '很喜欢那个房间', '短评打分': 5}
{'短评内容': '不错，不错。不错，不错。不错，不错。不错，不错。', '短评打分': 5}
{'短评内容': '酒店位置很便利。不错。', '短评打分': 5}
{'短评内容': '房间很好，服务也很好，楼下还有一个超市，超级方便！！！', '短评打分': 5}
{'短评内容': '房间很好，服务也很好，楼下还有一个超市，超级方便！！！', '短评打分': 5}
{'短评内容': '房间大且整洁', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大，沙发不够舒服', '短评打分': 4}
{'短评内容': '早餐一般 单对这个价位的房费来说是可以了 房间内的床绝对超大规模 睡3个人都可以 房间也很大 水温就是太热了', '短评打分': 3}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '总体来说挺不错的，周边也方便！', '短评打分': 4}
{'短评内容': '出差住在了公司附近，房间真的很大，该有的也都有，而且价格太便宜了，住了两晚，周围吃饭买东西的地方也多。', '短评打分': 5}
{'短评内容': '没有所谓的晚安牛奶啊', '短评打分': 3}
{'短评内容': '已经住了三周 每天房间都收拾的挺干净的 前几天还把地毯刷了一遍 酒店里面环境还算不错', '短评打分': 5}
{'短评内容': '这个区域算是最好的酒店了', '短评打分': 4}
{'短评内容': '闩', '短评打分': 1}
{'短评内容': '酒店周边配套设施还不错，里面环境也不错，就是上下班较堵', '短评打分': 4}
