{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还不错，可以住', '短评打分': 4}
{'短评内容': '携程上标的有早餐，我才选的，结果到了说没有。屋子比较简陋，连衣架和挂钩都没有楼下是一个小市场，比较方便，但也有些吵房间隔音不好，在成都要待四五天的，住了一天就退房了', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '卫生间坐便没有坐便圈，没法上厕所，就直接坐上面上了，结果两天后检查，淋病双球菌感染，这就可以证明，这个酒店的坐便从来没有消毒，这个病我就不多说了，要多恶心有多恶心。', '短评打分': 1}
{'短评内容': '酒店不错，服务态度很好。', '短评打分': 4}
{'短评内容': '该酒店很一般般，下次不会再来住了，不过店家的服务态度很好，很周到，也和热情。', '短评打分': 3}
{'短评内容': '宾馆服务员及老板都态度服务很好，但设施与价格不匹配。', '短评打分': 4}
{'短评内容': '130块，我也没高期望，他没让我失望，脏，乱', '短评打分': 2}
{'短评内容': '前台接待人员很不礼貌', '短评打分': 2}
{'短评内容': '交通方便，服务很好，价格值，今后还来照顾，卫生希望稍微改变一下', '短评打分': 5}
{'短评内容': '典型小商务宾馆，各方面很一般，价格也不低了，物不抵价。', '短评打分': 5}
{'短评内容': '非一般差！公共洗手间，冲凉房！！！！还不给我积分！！！？？', '短评打分': 5}
{'短评内容': '服务很热情，卫生一般', '短评打分': 3}
{'短评内容': '酒店买东西很方便；如是早上的飞机，酒店前台还会打电话叫客人，以免无机，接送车很快，感觉几分钟就到机场了。', '短评打分': 5}
{'短评内容': '接送方便！人工叫醒服务很有特色噢，向大家推荐这个酒店~就是出行略有不方便，但是赶飞机还是很便利的', '短评打分': 5}
{'短评内容': '还可以吧，就是没有独立卫生间。这个挺郁闷的，其他还行，毕竟价钱实惠，是我喜欢的。', '短评打分': 5}
{'短评内容': '服务态度很满意，还提供免费叫醒和送机服务，不错！', '短评打分': 3}
{'短评内容': '设施旧，房间不卫生，厕所极其可怕，空调也不热，饮水机怪怪的', '短评打分': 1}
{'短评内容': '卫生好，服务周到，到机场方便，下次还住这里。', '短评打分': 5}
{'短评内容': '还行，宾馆所在的位置，周边有很多好吃的店铺，其中有一个五谷豆浆，都是鲜榨的，最最关键的是，便宜，哈哈！\n2010年的宾馆，还算新，里面的配置还可以，上网空调都可以!反正比西安的机场附近的宾馆好很多！\n里面的床单被套看起来还行，因为是标间，有一床看起来不是很爽!\n', '短评打分': 5}
{'短评内容': '酒店不怎样.', '短评打分': 3}
{'短评内容': '距离机场近，提供接、送机服务，服务态度较好，房间设施相对于价格、地段来说还可以，较卫生。对于出门在外的人来说，是个性价比较高的选择，我住过两次，还可以，推荐一下！', '短评打分': 5}
{'短评内容': ':华航商务酒店挺实惠干净的,还很安全,还有人性化的机场免费接送服务,贴心啊!', '短评打分': 3}
{'短评内容': '酒店还不错，比较洁净，服务也很热情，主要是赶飞机方便，店家接送。经济房价钱觉得贵了点，开始以为是内有卫生间的，不过只住一晚，总的来说还不错了，是乘机理想的选择。', '短评打分': 1}
