{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '噪音很大，很吵', '短评打分': 4}
{'短评内容': '酒店没窗，是室内窗，空调声音太大，价钱便宜，服务还行，房间没有介绍的18一20平，总的来说，这个价钱也算可以了。', '短评打分': 4}
{'短评内容': '周边不错', '短评打分': 5}
{'短评内容': '一般般！', '短评打分': 5}
{'短评内容': '位置很棒 临近小吃一条街……', '短评打分': 5}
{'短评内容': '离西湖很近，适合骑乘', '短评打分': 5}
{'短评内容': '感觉该九点还可以，质量和价格相符。', '短评打分': 4}
{'短评内容': '床太硬，床太硬了，太TM硬了！！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '地理位置不错，服务也蛮好的，好评。', '短评打分': 5}
{'短评内容': '房间不大，但是很整洁。装修比较的新。离御街、鼓楼、河坊街都很近，但是房间里很安静。法恩莎的洁具、欧普的灯，真有点我家的感觉。总体还是不错的，以后去应该还是会选择这家店的。', '短评打分': 5}
{'短评内容': '店的位置非常便捷，这是我第一次晚上到杭州鼓楼，闹中取静，很古典很有文化底蕴\n酒店服务态度还蛮好的，就是房卡老是打不开门要麻烦服务阿姨。\n房间颜色还是比较温馨的，洗手间是白色，整体感觉非常干净，重点是洗手间灯很亮，为整洁加分\n下次还会选择该店入住', '短评打分': 5}
{'短评内容': '房间很温馨，服务挺好的。', '短评打分': 3}
{'短评内容': '酒店位置很不错，就在鼓楼旁边，距离美食街就几步路。但是酒店的房间真的小，而且房间内都有台阶，不是太方便。', '短评打分': 5}
{'短评内容': '提前看好了地址，所以很容易找到了，房间不大，但很干净，淋浴器有点故障，很快修好了，服务态度很好，退房后还能免费存行李，下次有机会还会住。', '短评打分': 5}
{'短评内容': '房间有点小，但是还比较干净！但是那条街上有2个如家一家一家17号一家117号，差点走错~', '短评打分': 5}
{'短评内容': '很好。特别是有消防用具。吹风机。很贴心。地理位置也好。下次去杭州还住这。', '短评打分': 3}
{'短评内容': '位置很好，但有部分房间里面有霉。。。建议选住临街的房间', '短评打分': 5}
{'短评内容': '地理位置相当不错，离美食街很近，价格有些小贵。', '短评打分': 5}
{'短评内容': '步行街内小吃很多，吃的很方便，只是预订价和门市价一样，未优惠，遗憾。', '短评打分': 3}
{'短评内容': '房间比较小，但是很温馨。在景区里，我原以为会非常吵，住了才知道，很安静，就在步行街里面，晚上逛街散步特别方便，离西湖也很近，价格也不贵，真的很值，如果有去杭州旅游的，强烈推荐住这里。', '短评打分': 5}
{'短评内容': '无论是对环境 还是酒店的硬件都不错 有网线没有电脑 总体不错', '短评打分': 5}
{'短评内容': ' 地段很好，离河坊街高银街很近，几分钟的路，就在鼓楼附近。房间干净，服务也不错，空调很给力。晚上也特别安静～挺好挺不错的～', '短评打分': 3}
{'短评内容': '酒店房间比较小，也比较干净，酒店周围的环境很好，在鼓楼内，离步行街很近。', '短评打分': 5}
{'短评内容': '位置很好~~周围一圈全部值得逛啊~~不过晚上很安静的~~~房间干净，还有吹风~~第一次在如家看到房内有吹风啊~~', '短评打分': 5}
{'短评内容': '蛮好 酒店设施不错 附近交通也便利  晚上还可以逛逛 ', '短评打分': 5}
{'短评内容': '很好啊，地理位置很方便，酒店也很新，靠着小吃街，很好', '短评打分': 5}
{'短评内容': '地理位置是相当好的，酒店房间也很新，很推荐，出门就是小吃街，超级方便啊', '短评打分': 5}
{'短评内容': '太好了，房间很大，地点很好。', '短评打分': 3}
{'短评内容': '环境不错，周边吃的地方也多，就是房间有点小，隔音也不是很理想，但是还是推荐住呢。', '短评打分': 5}
{'短评内容': '就在美食街边上，地点不错，就是酒店隔音有点不好，剩下都挺好的', '短评打分': 5}
{'短评内容': '环境很好，很干净，还有矿泉水送，很好。', '短评打分': 3}
{'短评内容': '房间比较小，而且没有外窗，只有一个内窗，这些在描述中都没有详细的描述，因为刚刚装修完，还有一股装修味道，服务态度还不错.', '短评打分': 4}
