{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还行，，，，，，，，，，，，，', '短评打分': 4}
{'短评内容': '一般而己', '短评打分': 3}
{'短评内容': '小木屋还不错 出门就是海边', '短评打分': 4}
{'短评内容': '完美，冯老板超级好的，附近很多吃的，很实惠，酒店外面就是沙滩，停车的话提前跟冯老板说，他会留车位，给满分好评，有机会再去还找他，下次时间充足要跟老板吃个饭', '短评打分': 5}
{'短评内容': '古色古香', '短评打分': 5}
{'短评内容': '老板服务很热情', '短评打分': 5}
{'短评内容': '很不错，每个月都过来住！老板人也很友善，很热心。性价比很高，今年都来住了好多次了，离厦大海韵园很近。', '短评打分': 5}
{'短评内容': '很不错，每个月都过来住！老板人也很友善，很热心。性价比很高，今年都来住了好多次了，离厦大海韵园很近。', '短评打分': 5}
{'短评内容': '很不错，每个月都过来住！老板人也很友善，很热心。性价比很高，今年都来住了好多次了，离厦大海韵园很近。', '短评打分': 5}
{'短评内容': '这家客栈挺不错的，本想抱着试试看的心里的，结果一住就是4天。设施挺齐全的，这个价钱能住到这种客栈，真是足矣了。', '短评打分': 5}
{'短评内容': '到了珍珠湾站给老板娘打了电话来接的我们，老板娘很是热情，帮着拿行李，客栈也不错，性价比挺高的，我昨晚在别的客栈住的128的价格不仅比这家贵很多，而且条件也没这家好呢。实惠哦！', '短评打分': 5}
{'短评内容': '和老婆一起去的，这躺出游让老婆最满意的就是订了这家客栈了，干净，舒适，交通方便。', '短评打分': 5}
{'短评内容': '挺好的，各方面都挺好的，主要是老板娘热情，服务态度好。', '短评打分': 5}
{'短评内容': '带儿子去玩的，离海边很近，穿着泳衣就出去了，超方便，儿子很喜欢，让我每年都带他来。出门一分钟就是站台，万能的二十九路会带你去各个景点，而且还很近，几个站就到了。回去一定介绍给朋友。', '短评打分': 5}
