{'短评内容': '可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '停车需交钥匙', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '身份证落在酒店了 小姐姐很热心的帮忙寄回家了 点赞！停车场就在酒店门口，出门就能吃早饭，总的来说还很方便哦，值得', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便，就是环境不是让人感觉一般般，酒店的服务态度也不错，只是感觉酒店里的配套设施不是太理想。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店不临街，非常安静。', '短评打分': 4}
{'短评内容': '在康定算不错啦', '短评打分': 5}
{'短评内容': '不错 不错 环境好服务好 特别感谢总台的服务 因为是自驾游 走时搞忘了把手持电台掉在总台充电 后酒店安排请当地车帮忙带到新都桥 让我们的旅途减少了不少麻烦 谢谢了', '短评打分': 5}
{'短评内容': '不错 不错 环境好服务好 特别感谢总台的服务 因为是自驾游 走时搞忘了把手持电台掉在总台充电 后酒店安排请当地车帮忙带到新都桥 让我们的旅途减少了不少麻烦 谢谢了', '短评打分': 5}
{'短评内容': '不错 不错 环境好服务好 特别感谢总台的服务 因为是自驾游 走时搞忘了把手持电台掉在总台充电 后酒店安排请当地车帮忙带到新都桥 让我们的旅途减少了不少麻烦 谢谢了', '短评打分': 5}
{'短评内容': '不错 不错 环境好服务好 特别感谢总台的服务 因为是自驾游 走时搞忘了把手持电台掉在总台充电 后酒店安排请当地车帮忙带到新都桥 让我们的旅途减少了不少麻烦 谢谢了', '短评打分': 5}
{'短评内容': '不错 不错 环境好服务好 特别感谢总台的服务 因为是自驾游 走时搞忘了把手持电台掉在总台充电 后酒店安排请当地车帮忙带到新都桥 让我们的旅途减少了不少麻烦 谢谢了', '短评打分': 5}
