{'短评内容': '可以', '短评打分': 5}
{'短评内容': '比较旧了', '短评打分': 3}
{'短评内容': '很多东西没有，房间比较吵，晚上没有服务员，房间里感觉不是太卫生，洗刷用品水的不行', '短评打分': 3}
{'短评内容': '房间太旧，太老了，光线太暗，完全不值这个价，再也不去了', '短评打分': 2}
{'短评内容': '条件差', '短评打分': 3}
{'短评内容': '还可以，价格比较便宜，服务一般', '短评打分': 4}
{'短评内容': '第一天去了第二天又去。但是不知道为什么第二天的房没有衣柜。也没那个台子。不知道是因为都订完还是怎么了', '短评打分': 5}
{'短评内容': '服务员很热心好评', '短评打分': 5}
{'短评内容': '整体来说还行。设施略显陈旧。', '短评打分': 4}
{'短评内容': '酒店前台让我删除网上预订，说给我便宜点，还是携程好。', '短评打分': 2}
{'短评内容': '酒店服务非常差，从服务员到老板都没有职业道德，二天二次同样拒付订单，理由是直接与前台订就有房，携程就没房，订过的房间不兑现，为多赚钱不遵守协议规则。', '短评打分': 1}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '其他还好就是晚上有点吵', '短评打分': 4}
{'短评内容': '酒店还行吧，不过房间里面的灯光偏暗了，电视频道偏少，地理位置一般般吧，不过总体性价比还可以吧，还好吧。。。', '短评打分': 5}
{'短评内容': '    交通不是很方便。套房的麻将室灯光不是很亮。其他的都还比较可以。，', '短评打分': 5}
{'短评内容': '位置有点偏。打车到是挺方便的。底下有个出租车加气站。干净卫生有点待改善', '短评打分': 3}
{'短评内容': ' 房间简洁、明亮、干净，唯一不足房间里隐隐有点发霉的气味。', '短评打分': 3}
{'短评内容': '总的来说酒店整体环境还不错，服务人员很热心。', '短评打分': 5}
{'短评内容': '条件比预想的好\u3000附近还有动物园\u3000交通也方便', '短评打分': 3}
{'短评内容': '很好                 很愉快', '短评打分': 5}
{'短评内容': '挺干净的酒店，服务也很不错，周边打车也很方便', '短评打分': 5}
{'短评内容': '  酒店前面是大街，后面是公交总站，所以哪边都会有些吵，不过晚上就很安静了，不会影响睡眠。6楼客房水流很小，洗澡很累。网速慢。没有早餐。房间还是可以的。', '短评打分': 5}
{'短评内容': '酒店性价比还可以，房间挺干净的，住宿条件挺好的，服务很一般，当时入住了两三个晚上，好像这里不是每天都更换床单的，这点有些不太好，位置有些偏，吃饭地方较少，其他都还可以', '短评打分': 3}
{'短评内容': '位置还好挺方便我出行办事.室内的硬件设施及软件服务也比较达标.整体给我感觉还不错.', '短评打分': 5}
{'短评内容': '网速慢 电视是卫星的 不是闭路电视 没cctv5 其他还好', '短评打分': 5}
{'短评内容': '这家店子除了位置有一点点偏以外，卫生、服务态度、房间布置都是很不错的。推荐！', '短评打分': 3}
{'短评内容': '  这家酒店蛮好，空间大，服务态度好', '短评打分': 5}
{'短评内容': '卫生设施还可以，价格都差不多在武汉价格都还行，位置离我去的地方还是比较近的。整体看还是比较不错。', '短评打分': 5}
{'短评内容': '+很安静，很舒服。吃的也很方便，到了晚上下面都是宵夜。\n总之有机会还是会选择这个酒店的。我比较满意', '短评打分': 3}
{'短评内容': '很安静，很舒服。吃的也很方便，到了晚上下面都是宵夜。\n总之有机会还是会选择这个酒店的。我比较满意', '短评打分': 5}
{'短评内容': '就是位置太远，吃饭不便', '短评打分': 3}
{'短评内容': '竟然早饭都没有吃，附近也没有干净的用餐之处', '短评打分': 1}
