{'短评内容': '很好很强大', '短评打分': 5}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '一般，离的近', '短评打分': 4}
{'短评内容': '周边环境还不错，坐地铁坐公交都很方便，要坐地铁就直接坐个公交几站地。出差图的最方便就是交通。所以出差办事在酒店不远的地方推荐这', '短评打分': 4}
{'短评内容': '卫生环境还不错，然后周边就有公交，坐地铁倒个公交挺快就到了。唯一不足的就是隔音效果太差，隔壁房间说话的声音都能听到。总体还是很不错的', '短评打分': 5}
{'短评内容': '商务出差，位置合适', '短评打分': 5}
{'短评内容': '环境脏乱差，床上，地板上，洗手间，开关上全是蟑螂！！爬到行李箱到处都是，家具老旧，给人鬼屋的感觉，一开洗手间门还有蜘蛛网，洗手间台子上还有很多长头发！进去一个小时果断退房有人，还扣了我120块钱，走的时候身上的几十块钱放在桌子上忘记拿了，服务员居然说没有，态度极差！', '短评打分': 1}
{'短评内容': '价格放在这，服务态度不好，建议不是办事近不用住这个', '短评打分': 3}
{'短评内容': '环境一般，周边办事，选择这家，服务态度不怎么好', '短评打分': 3}
{'短评内容': '环境一般，无线信号不好，房间小，离办事地方近，选择的这家酒店', '短评打分': 3}
{'短评内容': '还可以，价格合适，出差适合', '短评打分': 3}
{'短评内容': '房间小，无线信号不好', '短评打分': 3}
{'短评内容': '酒店还不错，值得大家入住', '短评打分': 5}
