{'短评内容': '位置很好找，不错，就是旁边在施工有点吵，其他的都满意！', '短评打分': 5}
{'短评内容': '酒店入住环境非常不错，离恐龙园不是很远。出行也很方便', '短评打分': 5}
{'短评内容': '还行吧地方离恐龙园近', '短评打分': 5}
{'短评内容': '附近嘈杂，其他还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离恐龙园公交两三站，环境还不错，周围在建地铁，但是不影响出行，离万达一点几公里', '短评打分': 5}
{'短评内容': '早餐挺好', '短评打分': 5}
{'短评内容': '快捷酒店，就那样，别要求太高，会失望的！！！！', '短评打分': 4}
{'短评内容': '不错的体验，给个好评！！！', '短评打分': 5}
{'短评内容': '第二次来常州依然选择这里。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '个人临时出差入住，不错', '短评打分': 5}
{'短评内容': '性价比挺高，不错', '短评打分': 4}
{'短评内容': '帮同事预定的 同事说环境很不错，值得推荐，交通方便，房屋很干净 整洁，服务态度提别帮，原本到点还未入住还主动联系。。。暖心', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店还好！晚上到的.现在这边修路.交通有点不方便！出门打的去景点起步价！', '短评打分': 5}
{'短评内容': '酒店不错。', '短评打分': 5}
{'短评内容': '还不错的，环境很好，就是靠近街道有点闹', '短评打分': 5}
{'短评内容': '环境很好，离常恐公园也很近，服务员态度也很好，谢谢携程。', '短评打分': 5}
