{'短评内容': '不错，，，，', '短评打分': 5}
{'短评内容': '网络不行，设施也差，合作伙伴在这里搞活动的，可怕的一夜', '短评打分': 1}
{'短评内容': '酒店离博罗县城不远，开车10分钟就到，酒店大堂的设施不错，但房间设施又旧又脏，特别是地毯，都是浮尘，早餐还行，挺丰富的，停车也免费停，对得起这价钱。', '短评打分': 3}
{'短评内容': '酒店周围绿化非常好，户外有氧运动，可以钓鱼，很不错的一次体验', '短评打分': 5}
{'短评内容': '还不错啦，卫生间一般', '短评打分': 4}
{'短评内容': '酒店硬件软件设施都不好', '短评打分': 4}
{'短评内容': '中规中矩，有性价比，渡假可以考虑', '短评打分': 4}
{'短评内容': '服务态度很好。环境超出预期好，很安静，视野广阔', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '非常一般，卫生条件让人担心，老酒店', '短评打分': 3}
{'短评内容': '很一般吧，周边环境一般，酒店卫生做的不好', '短评打分': 3}
{'短评内容': '外观看有点旧，房间还行', '短评打分': 4}
{'短评内容': '対外交通不方便，如果不是来打高尔夫的。', '短评打分': 4}
{'短评内容': '华人篮球赛安排入住該處，平常住房率不高，有些霉味。対外交通不很方便便。', '短评打分': 4}
{'短评内容': '深夜找吃的不方便，停车位好像马戏团', '短评打分': 4}
{'短评内容': '很好不错了', '短评打分': 5}
{'短评内容': '房间漂亮干净. 很好！值得推荐。下次再去', '短评打分': 5}
{'短评内容': '风景不错，但是房间设施真的很一般，卫生也一般，服务还不错，如果要求高的住客就不要选择这间酒店。', '短评打分': 5}
{'短评内容': '房间墙壁很cheap，很不像五星级的，纱窗上还有两只大甲虫，很恐怖！！房间设施一般般，不如深圳维也纳酒店', '短评打分': 1}
{'短评内容': '酒店很大，人很少，住过的人最少酒店，爽。', '短评打分': 3}
{'短评内容': '高尔夫球场景观,好环境.', '短评打分': 3}
{'短评内容': '酒店环境优美，空气新鲜，虽然地处偏僻，但却是休闲度假的好去处。', '短评打分': 5}
{'短评内容': '酒店好大，房间也挺好，干净，但就是服务太死板，我电话前台说会迟十几分钟下来退房，前台居然用国际惯利来打发我，住了那么多年酒店，第一次遇上这种情况，严重不爽', '短评打分': 5}
{'短评内容': '很不错哦！就是有蚂蚁，也可能是南方的气候原因吧！', '短评打分': 5}
{'短评内容': '酒店的设施很齐全，吃的、玩的都有，很尽兴，而且设施都很现代化，很摩登', '短评打分': 5}
{'短评内容': '设施很不错，装修比较讲究，多多少少配合了点球场的风格，感觉很怡神', '短评打分': 5}
{'短评内容': '主要是看重酒店的地理位置了，也果真没让我失望，尤其是清晨，窗外的风景让人望而失神', '短评打分': 5}
{'短评内容': '很适合郊外旅游，环境很好，配套生活设施也很齐全，只等自己想怎么去放松了', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，距离高尔夫球场很近，在房间就能看见球场，很不错的享受', '短评打分': 5}
{'短评内容': '来到这的第一感觉就是很放松，她有种让人忘记一切烦恼的魔力，这个假期很美好', '短评打分': 5}
{'短评内容': '卫生很不错，进去了有种很清爽的感觉，空气里有淡淡的香水味，一个比较讲究的酒店', '短评打分': 5}
{'短评内容': '离汤泉温泉很近，交通很便利，而且这个酒店自身的服务也很不错，值得称赞', '短评打分': 5}
{'短评内容': '装修很好，有别墅的洋气，也有中式的古典，是个氛围很不错的酒店', '短评打分': 5}
{'短评内容': '服务员很热情礼貌，应该是经过严格培训的，微笑服务让人感觉很贴心', '短评打分': 5}
