{'短评内容': ' 一份价钱一份货 服务态度不错，房间还算安静', '短评打分': 3}
{'短评内容': '性价比不高，不值这个价位，！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '交通还好，服务不错，但是设施太烂了，装修也差，好多东西都是旧的，房间还有怪味。', '短评打分': 1}
{'短评内容': '位置一般，环境一般，房间也一般，但就是便宜啊，谁让咱木有钱住好的捏，这样也可以啦！', '短评打分': 5}
{'短评内容': '酒店太一般了。', '短评打分': 3}
{'短评内容': '基本上条件还可以，服务态度挺好。。。。。', '短评打分': 5}
{'短评内容': '酒店环境还可以，位置稍偏点，整体来说性价比还是不错的。', '短评打分': 5}
{'短评内容': '环境很安静', '短评打分': 3}
{'短评内容': '房间不错，价格便宜，服务态度很好，有种回家的感觉，再来郑州我还会选它。', '短评打分': 5}
{'短评内容': '房间还好，服务态度很好，有种在家里的感觉，很温馨。', '短评打分': 5}
{'短评内容': '东西有点旧，周围环境噪音大。\n服务态度还好。', '短评打分': 1}
{'短评内容': '太破了。。。脏  乱    差    还没停车的地', '短评打分': 1}
{'短评内容': '住宿环境不是很满意 物品比较旧 床上用品旧甚至有些发黄\n前台服务人员还不错 问路什么的都很用心帮助解决\n整体不太推荐', '短评打分': 1}
{'短评内容': '房间还好，价格便宜，离火车站也近。。。。', '短评打分': 5}
{'短评内容': '这个价格,算是实惠的了', '短评打分': 3}
{'短评内容': '房间还好，价格低廉，干净卫生，就是物品有些旧。', '短评打分': 5}
{'短评内容': '住过两次，这次又住宿，主要还是看中这个价格，便宜，服务不错', '短评打分': 5}
{'短评内容': '卫生一般，环境一般，交通可以，服务可以，价格便宜', '短评打分': 5}
{'短评内容': '还行吧，环境一般般，就是现在可能准备装修了', '短评打分': 3}
{'短评内容': '环境可以服务很好', '短评打分': 3}
{'短评内容': '硬件一般,态度好，胜在经济实惠。', '短评打分': 3}
{'短评内容': '简直无法形容的酒店 停电 开关坏得  被罩破了好大的洞 床是砖头支的 我住的是410房间  下面是个集贸市场吵得没办法睡觉 ', '短评打分': 1}
{'短评内容': '太旧了  卫生间 没门 还正对床  一大早 还有人乱敲门  本来 想多住 几天 直接住一天就闪了 100元 就跟60元的没区别 实在是太无语了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
