{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '不错……继续推荐', '短评打分': 5}
{'短评内容': '环境不错，性价比好', '短评打分': 5}
{'短评内容': '环境不错，性价比高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '在网上预付了房间 晚上去的时候交了200押金 早上要退房了 只退一百。说网上预付了 只交一百押金。我也不知道到底怎么回事 就是交了200。', '短评打分': 1}
{'短评内容': '很好，经济实惠，交通很方便，早餐品种丰富，干净卫生，前台美女服务很热情，房间很干净，很宽敞，特别是床很舒服，客房大姐也很热情见了就打招呼，还有免费的洗漱用品，无线超给力，整体都非常好，棒棒的，值得推荐，好好好 不错，挺好，价格便宜，物有所值，店内有餐厅，很方便！很好，佳驿就是不错，干净卫生，位置方便，好评，以后还来，整体感觉不错，总体来说还是不错的，有机会还会再去，整体来说都不错，特别满意！服务也', '短评打分': 5}
{'短评内容': '一直出差住银座佳驿，很好', '短评打分': 5}
{'短评内容': '房间挺大，牙具没有免费的', '短评打分': 3}
{'短评内容': '各方面还可以', '短评打分': 4}
{'短评内容': '第一天入住，锅炉坏了。没有热水，牙具2元一套。房间挺大', '短评打分': 3}
{'短评内容': '酒店卫生比较干净，房间布局合理，照明条件良好，洗漱水源方便，无异味，电梯运行平稳，只是电源插座都是小孔的，国外的大头电脑就没法用了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地段还算可以，酒店不提供一次性牙具，一套两块需要另买，大概是开业时间太长了，设施有点陈旧，特别是那个小屏幕的电视，下水道可能管子太细，漏水不太及时，洗澡的时候脚底下水可以养鱼了，总体来说，还算实惠吧', '短评打分': 5}
{'短评内容': '可以，一切入场啊', '短评打分': 5}
{'短评内容': '不错，挺干净的，晚上也安静', '短评打分': 5}
{'短评内容': '网上预定方便，卫生条件不错，隔音效果还好，好评。                                                                                       \n                ', '短评打分': 5}
{'短评内容': '位置比较偏一点，房间很简陋，但是服务质量非常好，这个价格不能有很好的期望。总体性价比不错。', '短评打分': 5}
{'短评内容': '环境不错，服务不错，优惠方面不如他的会员优惠。', '短评打分': 3}
{'短评内容': '房间很大 很干净 网速也还可以的  \n服务态度很好的 周围吃的也很多                   ', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': 'henhao henhao henhao henhao henhao henhao ', '短评打分': 5}
{'短评内容': ' 酒店环境不错，卫生好，服务也很好，性价比高，我和家人都很满意！', '短评打分': 3}
{'短评内容': '酒店不错，干净、服务比较好，后院还可以停车。', '短评打分': 5}
{'短评内容': '一般，不如大城市的佳驿酒店好！估计是小地方感觉不像连锁加盟的。', '短评打分': 1}
{'短评内容': '交通方便，每次都要住这，小环境也不错，后院有停车场。\n', '短评打分': 5}
{'短评内容': '挺好找，路边有个大招牌\n门口是条大道 旁边还有超市什么的 有个后院 可以停车\n房费不含早餐 人均要15 感觉还行 花样挺多\n房间很舒服 也不狭小床比较舒服 睡得很好 被子和枕头超舒服\n墙隔音不错 只是门稍微薄点\n洗澡很方便 热水来得快 而且稳定 沐浴液还挺好闻\n网络稳定 地毯厚 设备齐全 看得出很注重标准化\n前台服务什么的 也很好 规范 不比全国性的连锁酒店差', '短评打分': 5}
