{'短评内容': '可以', '短评打分': 5}
{'短评内容': '整体还是不错的，卫生，服务态度都还可以，交通方便', '短评打分': 4}
{'短评内容': '房间下水道味太大位置比较偏窗户也应该换了', '短评打分': 2}
{'短评内容': '位置有点小偏 床单太糙了 划得身上有点疼 不过整体还算可以', '短评打分': 4}
{'短评内容': '位置有点偏，但价格实惠，下次还会住的', '短评打分': 5}
{'短评内容': '还好，住的挺舒服', '短评打分': 5}
{'短评内容': '这个地方挺好找的，安静，很舒服，下次有机会还来这里。', '短评打分': 5}
{'短评内容': '环境不错！！！', '短评打分': 5}
{'短评内容': '不错，真的是干净便捷，关键还是闹市区的安静之地，物超所值！', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '环境不错房间干净卫生', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '环境安静，服务也很热情', '短评打分': 5}
{'短评内容': '环境安静，服务也很热情', '短评打分': 5}
{'短评内容': '还可以 主要是干净', '短评打分': 5}
{'短评内容': '一直很喜欢如家，主要是卫生', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '都不错。就是离我要去的地方有点远', '短评打分': 5}
{'短评内容': '很暖和', '短评打分': 5}
{'短评内容': '房间的热水是温水，在热点就好了', '短评打分': 5}
{'短评内容': '很不错的入住，很好，安静', '短评打分': 5}
{'短评内容': '住着舒服，下次我还会去', '短评打分': 5}
{'短评内容': '很好，很舒服的', '短评打分': 5}
{'短评内容': '房间号315，非常好。', '短评打分': 3}
{'短评内容': '还是一如既往的干净，服务好，环境也不错…', '短评打分': 3}
{'短评内容': '不错，酒店服务很热情，有餐厅，用餐很方便，附近交通还好，到火车站很方便，就是房间设施有点旧，其他都还蛮不错的，如有可能，下次还会入住！', '短评打分': 5}
{'短评内容': ' 服务态度好,干净,设备齐全,下次还会光临', '短评打分': 3}
{'短评内容': '环境还可以，就吃饭不方便。下次还会住这边。', '短评打分': 5}
{'短评内容': '很好、很满意、下次还会选择这里的', '短评打分': 3}
{'短评内容': '很好，环境优雅，清静。不错哦', '短评打分': 3}
{'短评内容': '环境还好，一楼的特惠房并不直接挨马路，很实惠。厨房早中晚餐都有提供。就是车辆前街打车不方便（单行线），需步行到军械学院那条路', '短评打分': 5}
{'短评内容': '在这家住的挺舒服的 就是打车有点不方便 总体感觉不错', '短评打分': 5}
{'短评内容': '离车站太远了', '短评打分': 3}
{'短评内容': '房间很干净，只是房间有点太小了', '短评打分': 3}
{'短评内容': '狠安静。就是网络不给力，总断线', '短评打分': 3}
{'短评内容': '环境很好 很温馨 经济实惠 性价比很高 适合入住', '短评打分': 5}
{'短评内容': '车辆厂前街这个店，门前是单行道，可能是因为交通不便所以便宜，直线距离离火车站1500米，实际得走20分钟。打车就更不方便了……', '短评打分': 3}
{'短评内容': '服务真心不错,还是地方偏了点,主要影响吃饭~', '短评打分': 5}
{'短评内容': '服务不错。就是床太烂了。钢丝都快出来了。窩的身上疼。赶紧换。', '短评打分': 3}
{'短评内容': '非常好，很喜欢，干净，安静，以后出差还是会住这里。', '短评打分': 5}
{'短评内容': '房间很好，住着很舒服。', '短评打分': 3}
